true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
RPP30	14	5	jurkat	Jurkat	1	0.4896809160709381	2372
NDUFAB1	1587	988	jurkat	Jurkat	1	0.4896809160709381	2372
ELP3	990	10	jurkat	Jurkat	1	0.4896809160709381	2372
SRA1	907	159	jurkat	Jurkat	1	0.4896809160709381	2372
SPCS2	1117	23	jurkat	Jurkat	1	0.4896809160709381	2372
RRP7A	69	14	jurkat	Jurkat	1	0.4896809160709381	2372
POLR2I	1	7	jurkat	Jurkat	1	0.4896809160709381	2372
METTL3	2	3	jurkat	Jurkat	1	0.4896809160709381	2372
CSH2	1751	1112	jurkat	Jurkat	1	0.4896809160709381	2372
CNOT2	4	5	jurkat	Jurkat	1	0.4896809160709381	2372
KIAA1143	1084	388	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF506	1023	10	jurkat	Jurkat	1	0.4896809160709381	2372
RPS11	17	19	jurkat	Jurkat	1	0.4896809160709381	2372
INTS8	2063	1533	jurkat	Jurkat	1	0.4896809160709381	2372
TOP1	952	716	jurkat	Jurkat	1	0.4896809160709381	2372
PELO	774	863	jurkat	Jurkat	1	0.4896809160709381	2372
F8A1	503	198	jurkat	Jurkat	1	0.4896809160709381	2372
SEH1L	13	10	jurkat	Jurkat	1	0.4896809160709381	2372
RHOQ	918	16	jurkat	Jurkat	1	0.4896809160709381	2372
RPL38	34	29	jurkat	Jurkat	1	0.4896809160709381	2372
CBLN1	726	389	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF763	461	200	jurkat	Jurkat	1	0.4896809160709381	2372
BAG6	327	907	jurkat	Jurkat	1	0.4896809160709381	2372
KRT8	1509	1065	jurkat	Jurkat	1	0.4896809160709381	2372
PFDN5	1264	773	jurkat	Jurkat	1	0.4896809160709381	2372
USP10	1656	1307	jurkat	Jurkat	1	0.4896809160709381	2372
MRPL35	28	21	jurkat	Jurkat	1	0.4896809160709381	2372
PTCD3	1358	414	jurkat	Jurkat	1	0.4896809160709381	2372
BOP1	62	47	jurkat	Jurkat	1	0.4896809160709381	2372
RPS15A	34	14	jurkat	Jurkat	1	0.4896809160709381	2372
SRPRB	796	831	jurkat	Jurkat	1	0.4896809160709381	2372
TTC4	565	767	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF559	3	36	jurkat	Jurkat	1	0.4896809160709381	2372
MRPS21	1225	6	jurkat	Jurkat	1	0.4896809160709381	2372
CDIPT	100	153	jurkat	Jurkat	1	0.4896809160709381	2372
OR2T29	2071	1864	jurkat	Jurkat	1	0.4896809160709381	2372
PPP6C	117	5	jurkat	Jurkat	1	0.4896809160709381	2372
HNRNPM	1581	2103	jurkat	Jurkat	1	0.4896809160709381	2372
DYNC1I2	452	346	jurkat	Jurkat	1	0.4896809160709381	2372
SACM1L	1084	380	jurkat	Jurkat	1	0.4896809160709381	2372
TWF1	1335	559	jurkat	Jurkat	1	0.4896809160709381	2372
PGS1	2275	1398	jurkat	Jurkat	1	0.4896809160709381	2372
BRK1	1061	1192	jurkat	Jurkat	1	0.4896809160709381	2372
TUBA3D	160	1011	jurkat	Jurkat	1	0.4896809160709381	2372
RPS27A	22	14	jurkat	Jurkat	1	0.4896809160709381	2372
TSFM	66	37	jurkat	Jurkat	1	0.4896809160709381	2372
LAMTOR1	2027	336	jurkat	Jurkat	1	0.4896809160709381	2372
EEF2	12	787	jurkat	Jurkat	1	0.4896809160709381	2372
LST1	1022	530	jurkat	Jurkat	1	0.4896809160709381	2372
SHQ1	543	188	jurkat	Jurkat	1	0.4896809160709381	2372
STRAP	74	241	jurkat	Jurkat	1	0.4896809160709381	2372
BCAR1	1911	1088	jurkat	Jurkat	1	0.4896809160709381	2372
DHX9	156	106	jurkat	Jurkat	1	0.4896809160709381	2372
SMG8	608	534	jurkat	Jurkat	1	0.4896809160709381	2372
NPM3	1594	650	jurkat	Jurkat	1	0.4896809160709381	2372
MICOS10	612	252	jurkat	Jurkat	1	0.4896809160709381	2372
IK	381	390	jurkat	Jurkat	1	0.4896809160709381	2372
WDTC1	148	958	jurkat	Jurkat	1	0.4896809160709381	2372
ANAPC15	736	354	jurkat	Jurkat	1	0.4896809160709381	2372
EDC4	18	52	jurkat	Jurkat	1	0.4896809160709381	2372
POLR3K	152	641	jurkat	Jurkat	1	0.4896809160709381	2372
PHF10	312	36	jurkat	Jurkat	1	0.4896809160709381	2372
RAD51D	1602	729	jurkat	Jurkat	1	0.4896809160709381	2372
SNAPC1	1484	611	jurkat	Jurkat	1	0.4896809160709381	2372
PDCD11	86	39	jurkat	Jurkat	1	0.4896809160709381	2372
ADAM10	369	1105	jurkat	Jurkat	1	0.4896809160709381	2372
PALB2	2277	2200	jurkat	Jurkat	1	0.4896809160709381	2372
MRPL14	11	14	jurkat	Jurkat	1	0.4896809160709381	2372
XPO5	162	239	jurkat	Jurkat	1	0.4896809160709381	2372
ATR	1987	1736	jurkat	Jurkat	1	0.4896809160709381	2372
CCND1	766	157	jurkat	Jurkat	1	0.4896809160709381	2372
PKM	463	26	jurkat	Jurkat	1	0.4896809160709381	2372
PRPF38A	472	977	jurkat	Jurkat	1	0.4896809160709381	2372
CDC16	240	100	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF706	1565	1182	jurkat	Jurkat	1	0.4896809160709381	2372
RPL18	52	11	jurkat	Jurkat	1	0.4896809160709381	2372
RPS3A	8	10	jurkat	Jurkat	1	0.4896809160709381	2372
RCCD1	637	666	jurkat	Jurkat	1	0.4896809160709381	2372
CYCS	525	46	jurkat	Jurkat	1	0.4896809160709381	2372
STXBP4	1526	1391	jurkat	Jurkat	1	0.4896809160709381	2372
HOXA3	603	318	jurkat	Jurkat	1	0.4896809160709381	2372
JMJD6	777	227	jurkat	Jurkat	1	0.4896809160709381	2372
SIGLEC14	1707	1738	jurkat	Jurkat	1	0.4896809160709381	2372
GNL2	22	22	jurkat	Jurkat	1	0.4896809160709381	2372
ARGFX	232	127	jurkat	Jurkat	1	0.4896809160709381	2372
GET3	242	552	jurkat	Jurkat	1	0.4896809160709381	2372
MANF	1093	836	jurkat	Jurkat	1	0.4896809160709381	2372
CIAPIN1	606	143	jurkat	Jurkat	1	0.4896809160709381	2372
SDHAF2	224	244	jurkat	Jurkat	1	0.4896809160709381	2372
ELOVL1	1607	1026	jurkat	Jurkat	1	0.4896809160709381	2372
NUMA1	176	95	jurkat	Jurkat	1	0.4896809160709381	2372
TAF1C	217	16	jurkat	Jurkat	1	0.4896809160709381	2372
HMGN2	243	572	jurkat	Jurkat	1	0.4896809160709381	2372
GTPBP4	13	66	jurkat	Jurkat	1	0.4896809160709381	2372
MRPL39	17	13	jurkat	Jurkat	1	0.4896809160709381	2372
RRP15	390	104	jurkat	Jurkat	1	0.4896809160709381	2372
FBXO42	883	260	jurkat	Jurkat	1	0.4896809160709381	2372
BTF3	2117	2080	jurkat	Jurkat	1	0.4896809160709381	2372
RIOK1	16	59	jurkat	Jurkat	1	0.4896809160709381	2372
SMG5	459	44	jurkat	Jurkat	1	0.4896809160709381	2372
TERF2	355	246	jurkat	Jurkat	1	0.4896809160709381	2372
GTF2H1	67	69	jurkat	Jurkat	1	0.4896809160709381	2372
SLC1A5	834	228	jurkat	Jurkat	1	0.4896809160709381	2372
ARFRP1	1411	224	jurkat	Jurkat	1	0.4896809160709381	2372
LAMTOR3	1706	1456	jurkat	Jurkat	1	0.4896809160709381	2372
ATP5MD	875	1060	jurkat	Jurkat	1	0.4896809160709381	2372
SAMM50	64	14	jurkat	Jurkat	1	0.4896809160709381	2372
SUPT20H	456	3	jurkat	Jurkat	1	0.4896809160709381	2372
MIS18BP1	492	31	jurkat	Jurkat	1	0.4896809160709381	2372
DCTN6	149	208	jurkat	Jurkat	1	0.4896809160709381	2372
CENPT	960	864	jurkat	Jurkat	1	0.4896809160709381	2372
PUF60	365	470	jurkat	Jurkat	1	0.4896809160709381	2372
ERCC2	77	4	jurkat	Jurkat	1	0.4896809160709381	2372
ELP5	195	77	jurkat	Jurkat	1	0.4896809160709381	2372
WDR18	571	199	jurkat	Jurkat	1	0.4896809160709381	2372
INTS1	1955	1006	jurkat	Jurkat	1	0.4896809160709381	2372
MRM1	1388	510	jurkat	Jurkat	1	0.4896809160709381	2372
