true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
SMG5	6	4	k562	K562	1	0.36152923107147217	1086
HNRNPH1	548	527	k562	K562	1	0.36152923107147217	1086
RPL10A	4	8	k562	K562	1	0.36152923107147217	1086
EIF3E	10	46	k562	K562	1	0.36152923107147217	1086
MRPS14	35	36	k562	K562	1	0.36152923107147217	1086
EIF3M	36	16	k562	K562	1	0.36152923107147217	1086
RPL13	2	5	k562	K562	1	0.36152923107147217	1086
SNAPC3	83	13	k562	K562	1	0.36152923107147217	1086
NBAS	69	9	k562	K562	1	0.36152923107147217	1086
ELP5	69	58	k562	K562	1	0.36152923107147217	1086
RPS6	22	19	k562	K562	1	0.36152923107147217	1086
SEC13	556	413	k562	K562	1	0.36152923107147217	1086
SFSWAP	61	22	k562	K562	1	0.36152923107147217	1086
SLU7	57	8	k562	K562	1	0.36152923107147217	1086
POLA1	42	22	k562	K562	1	0.36152923107147217	1086
GFER	155	232	k562	K562	1	0.36152923107147217	1086
C1QBP	147	73	k562	K562	1	0.36152923107147217	1086
SNRNP200	45	12	k562	K562	1	0.36152923107147217	1086
NUDC	476	331	k562	K562	1	0.36152923107147217	1086
PCF11	8	45	k562	K562	1	0.36152923107147217	1086
PSMA3	1	2	k562	K562	1	0.36152923107147217	1086
RPS26	12	5	k562	K562	1	0.36152923107147217	1086
GRPEL1	25	18	k562	K562	1	0.36152923107147217	1086
PHF5A	21	13	k562	K562	1	0.36152923107147217	1086
ZNHIT6	103	53	k562	K562	1	0.36152923107147217	1086
SRBD1	926	864	k562	K562	1	0.36152923107147217	1086
MFAP1	45	18	k562	K562	1	0.36152923107147217	1086
RPS19	52	41	k562	K562	1	0.36152923107147217	1086
ARGLU1	318	132	k562	K562	1	0.36152923107147217	1086
GTF2E2	12	10	k562	K562	1	0.36152923107147217	1086
DYNLRB1	214	138	k562	K562	1	0.36152923107147217	1086
TSR2	14	12	k562	K562	1	0.36152923107147217	1086
COG2	1007	752	k562	K562	1	0.36152923107147217	1086
SFPQ	446	284	k562	K562	1	0.36152923107147217	1086
MRPL18	14	31	k562	K562	1	0.36152923107147217	1086
NAA15	247	88	k562	K562	1	0.36152923107147217	1086
DONSON	35	40	k562	K562	1	0.36152923107147217	1086
RARS2	58	5	k562	K562	1	0.36152923107147217	1086
RPF1	46	31	k562	K562	1	0.36152923107147217	1086
ZBTB17	581	556	k562	K562	1	0.36152923107147217	1086
DPH2	29	30	k562	K562	1	0.36152923107147217	1086
TAF10	2	1	k562	K562	1	0.36152923107147217	1086
XPO1	60	27	k562	K562	1	0.36152923107147217	1086
NUP54	88	6	k562	K562	1	0.36152923107147217	1086
SSRP1	3	4	k562	K562	1	0.36152923107147217	1086
SON	74	16	k562	K562	1	0.36152923107147217	1086
BGLAP	192	67	k562	K562	1	0.36152923107147217	1086
PSMD7	15	16	k562	K562	1	0.36152923107147217	1086
SUGT1	553	348	k562	K562	1	0.36152923107147217	1086
CENPE	21	16	k562	K562	1	0.36152923107147217	1086
MZT1	95	102	k562	K562	1	0.36152923107147217	1086
NFRKB	187	22	k562	K562	1	0.36152923107147217	1086
RPS14	24	27	k562	K562	1	0.36152923107147217	1086
SNRPG	9	2	k562	K562	1	0.36152923107147217	1086
MRPL38	47	1	k562	K562	1	0.36152923107147217	1086
MAGOH	137	51	k562	K562	1	0.36152923107147217	1086
DNTTIP2	45	29	k562	K562	1	0.36152923107147217	1086
U2AF1	18	16	k562	K562	1	0.36152923107147217	1086
NOL6	16	13	k562	K562	1	0.36152923107147217	1086
SF3A2	17	7	k562	K562	1	0.36152923107147217	1086
TXN	8	5	k562	K562	1	0.36152923107147217	1086
ORC5	67	57	k562	K562	1	0.36152923107147217	1086
DDX49	12	12	k562	K562	1	0.36152923107147217	1086
ANKRD11	18	13	k562	K562	1	0.36152923107147217	1086
CCDC86	23	11	k562	K562	1	0.36152923107147217	1086
RPS21	56	12	k562	K562	1	0.36152923107147217	1086
POLE	17	26	k562	K562	1	0.36152923107147217	1086
TRMT10C	71	96	k562	K562	1	0.36152923107147217	1086
VPS29	29	6	k562	K562	1	0.36152923107147217	1086
CWC15	21	2	k562	K562	1	0.36152923107147217	1086
CHMP6	15	4	k562	K562	1	0.36152923107147217	1086
RBX1	26	30	k562	K562	1	0.36152923107147217	1086
BRIX1	1	1	k562	K562	1	0.36152923107147217	1086
PTCD1	219	165	k562	K562	1	0.36152923107147217	1086
HIRA	180	230	k562	K562	1	0.36152923107147217	1086
POP4	38	25	k562	K562	1	0.36152923107147217	1086
