cell	method	median_rank_mean	median_rank_std	recall_at_10_mean	recall_at_10_std	ndcg_mean	n_folds
A375	gallery_dual	455.1	25.358430550804986	0.03822150180964705	0.004589649703098049	0.13092411858982242	5
A375	gallery_fuse	361.8	6.496152707564682	0.042626402875221056	0.0035664531561740466	0.1353056422906583	5
A375	pearson_train_gallery	645.8	17.469974241537955	0.025557415194212917	0.002862687334611746	0.11820973440883979	5
A549	gallery_dual	537.6	22.853883696212332	0.04258915687487116	0.0026302433160563317	0.13079824575370003	5
A549	gallery_fuse	359.2	9.148770409186149	0.04860853432282004	0.0030170218720223787	0.13904170207970562	5
A549	pearson_train_gallery	576.0	16.232683080747925	0.027087198515769944	0.0013564777469686317	0.12027507083380735	5
AGS	gallery_dual	632.5	44.452221541785754	0.031150550795593635	0.004794058499024225	0.12268505789930936	5
AGS	gallery_fuse	411.6	14.380542409798046	0.03537891372193698	0.0031226771876047632	0.13153890565756185	5
AGS	pearson_train_gallery	668.6	10.64424727258814	0.020907635985665363	0.0012633541476888713	0.114573472072746	5
BICR6	gallery_dual	586.6	30.609230633911718	0.034697757936680396	0.002799903309071733	0.12571865165682575	5
BICR6	gallery_fuse	439.6	23.179732526498224	0.03592534226227289	0.00454175763603394	0.1305339346897116	5
BICR6	pearson_train_gallery	737.5	12.58967831201418	0.019166464414953212	0.002535117732113754	0.11265790406267069	5
ES2	gallery_dual	560.0	28.312982887714252	0.05711186575536449	0.005386511388730577	0.1398447580607553	5
ES2	gallery_fuse	347.4	15.820872289478855	0.06377612988840495	0.003752182539887913	0.15004868154543932	5
ES2	pearson_train_gallery	615.0	13.46755360115563	0.027543488245748055	0.002107437996284405	0.12006389050499404	5
HT29	gallery_dual	556.0	46.25472948791292	0.03941534713763702	0.0025339641654462076	0.12761235982735267	5
HT29	gallery_fuse	413.6	25.754611237601708	0.036638246041412914	0.0011110113764668823	0.13093108224043865	5
HT29	pearson_train_gallery	631.6	14.70714112259756	0.019829476248477466	0.0006114445991722851	0.11443293206009301	5
MCF7	gallery_dual	562.2	38.41484088213824	0.028070759144085633	0.000553708142055311	0.12298094982580583	5
MCF7	gallery_fuse	494.3	30.954805765825764	0.029136048046752794	0.002572478410120493	0.12442681966426243	5
MCF7	pearson_train_gallery	743.1	24.444835855452173	0.01704486364123275	0.0019113068950870954	0.11016823233261015	5
PC3	gallery_dual	731.9	48.75243583658154	0.022280846880345224	0.0014384708462540695	0.11436948904236514	5
PC3	gallery_fuse	558.3	16.705538003907556	0.02411786996089162	0.0014842595491665514	0.11944034504960774	5
PC3	pearson_train_gallery	821.5	28.0178514522438	0.013377884374790214	0.0021926545531244707	0.10624381196768003	5
U251MG	gallery_dual	549.6	14.643257834238934	0.06203710198391049	0.002891565436667554	0.14236518655433827	5
U251MG	gallery_fuse	345.0	10.8397416943394	0.06613988979237206	0.0030170325510492633	0.15199399187259355	5
U251MG	pearson_train_gallery	645.1	13.221195104830738	0.02982179299555186	0.0013688076871781025	0.12055343974181494	5
YAPC	gallery_dual	612.6	42.359178462288426	0.030792152967469583	0.0027984672633684232	0.12321352224511092	5
YAPC	gallery_fuse	480.4	17.700282483621553	0.03178544822448473	0.002349253529727405	0.12679466792148247	5
YAPC	pearson_train_gallery	834.2	16.30030674557998	0.017333002234914328	0.0018698634812035475	0.10948344761778643	5
