method	alpha	n	median_rank	mean_rank	mrr	recall@1	recall@10	recall@100	cell	seed
pearson_gallery	0.0	593	572.0	752.7807757166947	0.0177877190469051	0.0016863406408094	0.0370994940978077	0.2192242833052276	hepg2	1
revpert_learn_only	1000000000.0	593	289.0	635.1349072512647	0.0405306932900257	0.0084317032040472	0.0978077571669477	0.3608768971332209	hepg2	1
revpert	0.4385081827640533	593	266.0	581.3204047217538	0.0479125354481831	0.0084317032040472	0.1247892074198988	0.357504215851602	hepg2	1
revpert_retune	0.75	593	241.0	539.5952782462057	0.047196231368062	0.0067453625632377	0.1298482293423271	0.3996627318718381	hepg2	1
pearson_gallery	0.0	594	511.0	729.7558922558923	0.0224712134624751	0.0067340067340067	0.042087542087542	0.2609427609427609	hepg2	2
revpert_learn_only	1000000000.0	594	207.0	619.4478114478114	0.0493239393439776	0.0151515151515151	0.1144781144781144	0.404040404040404	hepg2	2
revpert	0.4684746563434601	594	211.0	543.7289562289562	0.0528743328384349	0.0134680134680134	0.1363636363636363	0.4242424242424242	hepg2	2
revpert_retune	0.5	594	199.0	537.496632996633	0.0546845531434301	0.0151515151515151	0.1346801346801346	0.4276094276094276	hepg2	2
pearson_gallery	0.0	594	644.5	794.4242424242424	0.0268501939372247	0.0067340067340067	0.0639730639730639	0.2373737373737373	hepg2	3
revpert_learn_only	1000000000.0	594	248.0	584.8063973063973	0.0517335826135914	0.0185185185185185	0.1195286195286195	0.4006734006734007	hepg2	3
revpert	0.4647170901298523	594	290.0	604.6683501683501	0.0515188286128776	0.0117845117845117	0.1212121212121212	0.3703703703703703	hepg2	3
revpert_retune	0.75	594	222.5	556.2003367003367	0.053444111455813	0.0151515151515151	0.1228956228956228	0.4259259259259259	hepg2	3
pearson_gallery	0.0	594	544.0	736.523569023569	0.028273985792848	0.0101010101010101	0.0572390572390572	0.2508417508417508	hepg2	4
revpert_learn_only	1000000000.0	594	276.0	595.9494949494949	0.0485225343277864	0.0151515151515151	0.1195286195286195	0.3653198653198653	hepg2	4
revpert	0.4447880983352661	594	248.0	554.2373737373738	0.0569372770051709	0.0134680134680134	0.1346801346801346	0.4074074074074074	hepg2	4
revpert_retune	0.75	594	210.0	509.07070707070704	0.0582183900954324	0.0151515151515151	0.1414141414141414	0.4074074074074074	hepg2	4
pearson_gallery	0.0	594	587.0	754.959595959596	0.0232446743696718	0.0033670033670033	0.0555555555555555	0.2457912457912457	hepg2	5
revpert_learn_only	1000000000.0	594	323.0	621.7407407407408	0.0440520047892163	0.0067340067340067	0.1127946127946128	0.3585858585858585	hepg2	5
revpert	0.4097312092781067	594	293.0	589.8451178451179	0.052627929101996	0.0134680134680134	0.1262626262626262	0.3737373737373737	hepg2	5
revpert_retune	0.75	594	233.5	546.3888888888889	0.0593816459835697	0.0168350168350168	0.1346801346801346	0.3771043771043771	hepg2	5
pearson_gallery	0.0	272	46.0	112.50735294117646	0.0808919628898361	0.0220588235294117	0.1875	0.7169117647058824	k562	1
revpert_learn_only	1000000000.0	272	35.5	110.7095588235294	0.1096444998986698	0.0441176470588235	0.2389705882352941	0.7022058823529411	k562	1
revpert	0.3615292310714721	272	25.0	79.875	0.1153909802369254	0.0330882352941176	0.2757352941176471	0.8161764705882353	k562	1
revpert_retune	0.5	272	24.5	76.02573529411765	0.1240379879525566	0.0367647058823529	0.3125	0.8198529411764706	k562	1
pearson_gallery	0.0	272	32.0	105.30147058823528	0.1333003859720423	0.0698529411764705	0.2426470588235294	0.7242647058823529	k562	2
revpert_learn_only	1000000000.0	272	35.0	117.90073529411764	0.0785811101623898	0.0183823529411764	0.2058823529411764	0.7316176470588235	k562	2
revpert	0.3525661528110504	272	21.5	77.2279411764706	0.1486778484508584	0.0661764705882353	0.3345588235294117	0.7830882352941176	k562	2
revpert_retune	0.25	272	24.5	81.8345588235294	0.1464002515003685	0.0661764705882353	0.3125	0.7683823529411765	k562	2
pearson_gallery	0.0	272	32.5	100.05882352941175	0.1091965886580682	0.0477941176470588	0.2426470588235294	0.7352941176470589	k562	3
revpert_learn_only	1000000000.0	272	36.0	127.64338235294116	0.0944748138542319	0.025735294117647	0.2573529411764705	0.6985294117647058	k562	3
revpert	0.3853192925453186	272	20.0	69.73161764705883	0.1580083235883534	0.0735294117647058	0.3308823529411764	0.8272058823529411	k562	3
revpert_retune	0.75	272	20.0	67.61764705882354	0.1395434456946166	0.0477941176470588	0.3419117647058823	0.8235294117647058	k562	3
pearson_gallery	0.0	272	43.0	107.94485294117646	0.1196521858312103	0.0735294117647058	0.2095588235294117	0.7132352941176471	k562	4
revpert_learn_only	1000000000.0	272	29.5	78.47058823529412	0.124635323563771	0.0588235294117647	0.2573529411764705	0.7757352941176471	k562	4
revpert	0.312781274318695	272	31.0	85.19117647058823	0.1328557937714255	0.0625	0.2830882352941176	0.7830882352941176	k562	4
revpert_retune	1.5	272	24.0	68.8125	0.131660115470931	0.0477941176470588	0.2904411764705882	0.8051470588235294	k562	4
pearson_gallery	0.0	272	40.5	94.61397058823528	0.1130723640091676	0.0514705882352941	0.2316176470588235	0.7242647058823529	k562	5
revpert_learn_only	1000000000.0	272	32.0	111.3529411764706	0.1122702555373024	0.0367647058823529	0.2683823529411764	0.7573529411764706	k562	5
revpert	0.3771964013576507	272	19.5	64.42647058823529	0.1474310101738855	0.0551470588235294	0.3639705882352941	0.8382352941176471	k562	5
revpert_retune	1.0	272	20.5	64.1875	0.1530400948512158	0.0625	0.3602941176470588	0.8566176470588235	k562	5
pearson_gallery	0.0	384	185.5	324.1145833333333	0.0455811648433546	0.0078125	0.1015625	0.3932291666666667	rpe1	1
revpert_learn_only	1000000000.0	384	169.0	348.7083333333333	0.0621193889391197	0.0182291666666666	0.1380208333333333	0.4348958333333333	rpe1	1
revpert	0.4191087186336517	384	90.0	226.44270833333331	0.0680700925564252	0.0130208333333333	0.1666666666666666	0.5182291666666666	rpe1	1
revpert_retune	0.75	384	89.5	216.91927083333331	0.0712355841327872	0.0208333333333333	0.171875	0.53125	rpe1	1
pearson_gallery	0.0	384	155.0	300.4192708333333	0.0674733259271773	0.0182291666666666	0.140625	0.4140625	rpe1	2
revpert_learn_only	1000000000.0	384	148.0	326.2760416666667	0.0539634491104545	0.0130208333333333	0.125	0.421875	rpe1	2
revpert	0.4077884256839752	384	81.5	223.81510416666663	0.1023323653716409	0.0416666666666666	0.2213541666666666	0.5390625	rpe1	2
revpert_retune	0.5	384	75.0	219.84895833333331	0.1074992936393756	0.046875	0.2213541666666666	0.5494791666666666	rpe1	2
pearson_gallery	0.0	384	132.5	283.171875	0.0557857845082145	0.015625	0.1276041666666666	0.4296875	rpe1	3
revpert_learn_only	1000000000.0	384	147.0	293.9348958333333	0.0523168472085999	0.0104166666666666	0.1432291666666666	0.4270833333333333	rpe1	3
revpert	0.3147372305393219	384	93.5	235.25	0.0696691741392106	0.015625	0.1666666666666666	0.5182291666666666	rpe1	3
revpert_retune	0.25	384	95.0	241.61197916666663	0.0695075908552273	0.0182291666666666	0.1588541666666666	0.5052083333333334	rpe1	3
pearson_gallery	0.0	384	111.5	284.8854166666667	0.0721547903141728	0.0286458333333333	0.15625	0.4869791666666667	rpe1	4
revpert_learn_only	1000000000.0	384	119.5	320.5546875	0.0458047272125501	0.0078125	0.1119791666666666	0.4713541666666667	rpe1	4
revpert	0.4079147279262543	384	63.5	207.58072916666663	0.0988070291040999	0.0338541666666666	0.2213541666666666	0.5729166666666666	rpe1	4
revpert_retune	1.0	384	54.5	199.7890625	0.0835476891238076	0.0208333333333333	0.2161458333333333	0.5911458333333334	rpe1	4
pearson_gallery	0.0	384	136.5	280.640625	0.0573727279624517	0.0130208333333333	0.1354166666666666	0.4453125	rpe1	5
revpert_learn_only	1000000000.0	384	163.0	329.34375	0.0545164738277747	0.015625	0.1302083333333333	0.4244791666666667	rpe1	5
revpert	0.3998712301254272	384	63.0	201.02083333333331	0.0955197937916028	0.0338541666666666	0.2057291666666666	0.578125	rpe1	5
revpert_retune	0.5	384	61.0	195.828125	0.0950392729486284	0.0338541666666666	0.2317708333333333	0.5807291666666666	rpe1	5
pearson_gallery	0.0	594	574.5	752.3080808080808	0.0325409403164142	0.0134680134680134	0.0555555555555555	0.2306397306397306	jurkat	1
revpert_learn_only	1000000000.0	594	254.0	591.2104377104378	0.0399350554826595	0.0101010101010101	0.0909090909090909	0.367003367003367	jurkat	1
revpert	0.4896809160709381	594	238.5	545.4141414141415	0.044104761165165	0.0101010101010101	0.1144781144781144	0.3686868686868687	jurkat	1
revpert_retune	0.25	594	356.0	603.6161616161617	0.0425590397691883	0.0101010101010101	0.1043771043771043	0.3417508417508417	jurkat	1
pearson_gallery	0.0	594	570.0	739.7626262626262	0.0330733012908565	0.0101010101010101	0.0723905723905724	0.2491582491582491	jurkat	2
revpert_learn_only	1000000000.0	594	326.5	633.3619528619529	0.0423979071248711	0.0101010101010101	0.1026936026936027	0.3181818181818182	jurkat	2
revpert	0.3951043784618377	594	239.5	544.1144781144781	0.0512839600626935	0.0185185185185185	0.106060606060606	0.3720538720538721	jurkat	2
revpert_retune	0.75	594	237.5	487.57744107744105	0.0500183717155917	0.0185185185185185	0.0942760942760942	0.3636363636363636	jurkat	2
pearson_gallery	0.0	594	654.5	786.1969696969697	0.0347877929764982	0.0151515151515151	0.0707070707070707	0.2255892255892256	jurkat	3
revpert_learn_only	1000000000.0	594	260.0	545.7693602693603	0.0426517899069735	0.0101010101010101	0.0942760942760942	0.3451178451178451	jurkat	3
revpert	0.4057496786117553	594	219.0	544.6363636363636	0.0529353767230689	0.0168350168350168	0.1094276094276094	0.3956228956228956	jurkat	3
revpert_retune	0.5	594	207.0	517.2424242424242	0.0542034980551831	0.0185185185185185	0.101010101010101	0.4158249158249158	jurkat	3
pearson_gallery	0.0	594	551.5	719.8787878787879	0.0356541676029198	0.0117845117845117	0.0774410774410774	0.2643097643097643	jurkat	4
revpert_learn_only	1000000000.0	594	271.5	583.3468013468014	0.0418127990878215	0.0134680134680134	0.0942760942760942	0.3518518518518518	jurkat	4
revpert	0.4634592235088348	594	233.0	528.506734006734	0.053352108440322	0.0151515151515151	0.1262626262626262	0.4023569023569023	jurkat	4
revpert_retune	0.25	594	284.5	582.425925925926	0.0579258457788866	0.0185185185185185	0.1279461279461279	0.3787878787878788	jurkat	4
pearson_gallery	0.0	593	553.0	713.8701517706577	0.032557020491195	0.0118043844856661	0.072512647554806	0.2495784148397976	jurkat	5
revpert_learn_only	1000000000.0	593	244.0	581.1315345699832	0.0406231170186455	0.0084317032040472	0.0927487352445193	0.3591905564924115	jurkat	5
revpert	0.4603683352470398	593	231.0	519.806070826307	0.0434867683064084	0.0084317032040472	0.1079258010118043	0.3929173693086003	jurkat	5
revpert_retune	0.5	593	219.0	511.4822934232715	0.0441889950923993	0.0084317032040472	0.1045531197301855	0.3929173693086003	jurkat	5
