cell	n_folds	gene_axis	split	revpert_median_rank_mean	pearson_median_rank_mean	pdgrapher_official_median_rank_mean	fold_vs_pdgrapher	fold_vs_pearson	revpert_recall10_mean	pdgrapher_recall10_mean	revpert_better_median_than_pdgrapher	revpert_better_median_than_pearson
A549	5	10716	official_random_5fold	359.2	576.0	4354.2	12.121937639198219	1.603563474387528	0.04860853432282	0.0307977736549164	True	True
A375	5	10716	official_random_5fold	361.8	645.8	5445.4	15.05085682697623	1.7849640685461579	0.042626402875221	0.0075249985234138	True	True
AGS	5	10716	official_random_5fold	411.6	668.6	3798.7	9.229105928085518	1.6243926141885325	0.0353789137219369	0.0132965429783055	True	True
BICR6	5	10716	official_random_5fold	439.6	737.5	4583.6	10.426751592356688	1.6776615104640582	0.0359253422622728	0.0101969296518395	True	True
ES2	5	10716	official_random_5fold	347.4	615.0	2769.9	7.973229706390329	1.7702936096718482	0.0637761298884049	0.0265733088714962	True	True
HT29	5	10716	official_random_5fold	413.6	631.6	5623.2	13.595744680851062	1.5270793036750483	0.0366382460414129	0.0056516443361753	True	True
MCF7	5	10716	official_random_5fold	494.3	743.1	3555.5	7.193000202306291	1.5033380538134735	0.0291360480467527	0.0175239123541191	True	True
PC3	5	10716	official_random_5fold	558.3	821.5	3863.1	6.919398173025256	1.4714311302167296	0.0241178699608916	0.013095232150872	True	True
U251MG	5	10716	official_random_5fold	345.0	645.1	3552.0	10.295652173913043	1.8698550724637681	0.066139889792372	0.0333172553739929	True	True
YAPC	5	10716	official_random_5fold	480.4	834.2	4987.2	10.38134887593672	1.7364696086594507	0.0317854482244847	0.0062577601191953	True	True
