resource	cell	dual_mr	base_mr	base_name	fold	dual_r10	base_r10	n_test	n_catalog	note
Essential	HepG2	266.0	572.0	Pearson	2.1503759398496243	12.47892074198988	3.70994940978077	593		revpert_vs_pearson
Essential	K562	25.0	46.0	Pearson	1.84	27.573529411764707	18.75	272		revpert_vs_pearson
Essential	RPE1	90.0	185.5	Pearson	2.061111111111111	16.66666666666666	10.15625	384		revpert_vs_pearson
Essential	Jurkat	238.5	574.5	Pearson	2.408805031446541	11.44781144781144	5.55555555555555	594		revpert_vs_pearson
Genetic	A375	361.8	5445.4	PDGrapher	15.05085682697623	4.2626402875221	0.75249985234138		10716	revpert_vs_pdgrapher
Genetic	A549	359.2	4354.2	PDGrapher	12.121937639198219	4.860853432282	3.07977736549164		10716	revpert_vs_pdgrapher
Genetic	AGS	411.6	3798.7	PDGrapher	9.229105928085518	3.5378913721936898	1.3296542978305501		10716	revpert_vs_pdgrapher
Genetic	BICR6	439.6	4583.6	PDGrapher	10.426751592356688	3.59253422622728	1.01969296518395		10716	revpert_vs_pdgrapher
Genetic	ES2	347.4	2769.9	PDGrapher	7.973229706390329	6.37761298884049	2.65733088714962		10716	revpert_vs_pdgrapher
Genetic	HT29	413.6	5623.2	PDGrapher	13.595744680851062	3.66382460414129	0.56516443361753		10716	revpert_vs_pdgrapher
Genetic	MCF7	494.3	3555.5	PDGrapher	7.193000202306291	2.91360480467527	1.7523912354119102		10716	revpert_vs_pdgrapher
Genetic	PC3	558.3	3863.1	PDGrapher	6.919398173025256	2.41178699608916	1.3095232150872		10716	revpert_vs_pdgrapher
Genetic	U251MG	345.0	3552.0	PDGrapher	10.295652173913043	6.6139889792372	3.3317255373992904		10716	revpert_vs_pdgrapher
Genetic	YAPC	480.4	4987.2	PDGrapher	10.38134887593672	3.1785448224484703	0.6257760119195299		10716	revpert_vs_pdgrapher
