gene	value
A1BG	0.01396864516666696
A1BG-AS1	-0.15872166300000057
A1CF	0.004140772666666237
A2M	0.2587014426666663
A2ML1	-0.015526970666666529
A3GALT2	0.005222144333333567
A4GALT	-0.05520618366666685
A4GNT	-0.07348894600000033
AAAS	0.1265067883333355
AACS	-0.30185557966666643
AADAC	0.024111534666666934
AADACL2	0.008968552666668295
AADACL3	0.006367289333331527
AADACL4	-0.6977837090000012
AADACP1	0.02297014266666597
AADAT	0.2077129995
AAED1	0.12993784666666386
AAGAB	-0.13244867000000227
AAK1	-0.032860406583334445
AAMDC	0.9791318816666674
AAMP	-0.13318650000000254
AANAT	0.05190923799999947
AAR2	-0.0015466443333345126
AARD	0.00810796066666608
AARS	-0.637299706666667
AARS2	-0.24290392333333166
AASDH	0.1635736456666681
AASDHPPT	-0.23011816666666718
AASS	-0.07485119016666619
AATBC	0.007848139999999226
AATF	0.1672312166666643
AATK	0.07711663600000129
ABAT	0.16178441688888867
ABCA1	2.5395514923333335
ABCA10	0.02476477266666688
ABCA11P	-0.17779281099999977
ABCA12	-0.04169507349999968
ABCA13	-1.2986825206666675
ABCA17P	0.009667467999999957
ABCA2	0.03457983383333385
ABCA3	-1.1559893526666674
ABCA4	-0.1954643833333325
ABCA5	0.062156799555554976
ABCA6	0.9209959755000003
ABCA7	0.020449350999999893
ABCA8	-0.14248383833333556
ABCA9	0.27646828516666755
ABCB1	2.946495312833333
ABCB10	-0.11510623999999936
ABCB11	-0.04032012766666693
ABCB4	0.7055841859999985
ABCB5	-0.03323766466666633
ABCB6	1.1435120476666665
ABCB7	0.7089246699999983
ABCB8	0.013520853666666888
ABCB9	-0.12723508844443998
ABCC10	-0.4885595606666646
ABCC11	5.702577777810802e-05
ABCC12	0.04155001133333425
ABCC13	-0.011721683333332678
ABCC2	0.08987781066666578
ABCC3	4.418281322333333
ABCC4	1.0884053333333341
ABCC5	-0.46350768022222155
ABCC6	0.0473727819444445
ABCC6P1	-0.019569066000000745
ABCC6P2	0.13418495299999922
ABCC8	-0.12636707133333402
ABCC9	-0.020699067999999876
ABCD1	0.08930606066666602
ABCD2	0.02512365583333409
ABCD3	-0.26073448899999985
ABCD4	0.01992837216666743
ABCE1	0.6039699600000024
ABCF1	-0.12777799666666567
ABCF2	-0.460784693888888
ABCF3	-0.3116783279999993
ABCG1	0.13292851593333488
ABCG2	0.07338144600000174
ABCG4	0.02386779633333358
ABCG5	-0.019655204333332676
ABCG8	0.009706724999999139
ABHD1	0.0029077340000007723
ABHD10	-0.0796156613333352
ABHD11	-0.021180867999999187
ABHD11-AS1	-0.017641964333333426
ABHD12	-0.18435998588889024
ABHD12B	-0.001231271333332451
ABHD13	-0.04553843099999977
ABHD14A	-0.5164323500000005
ABHD14B	-0.36495236966666766
ABHD15	-0.8033749603333336
ABHD16A	0.16207266333332981
ABHD16B	-0.05522609199999984
ABHD17A	0.043645399999999945
ABHD17B	0.016434829083333824
ABHD17C	-0.11530939866666756
ABHD2	0.1047435650000006
ABHD3	0.0270729026666654
ABHD4	-0.011909924000001126
ABHD5	1.4644454179999986
ABHD6	-0.33965260966666744
ABHD8	-0.0923217566666672
ABI1	0.2106597981666667
ABI2	0.03671788433333223
ABI3	-0.034887910666666855
ABI3BP	-0.04866438366666692
ABL1	0.18697951366666743
ABL2	0.4624765833333342
ABLIM1	0.6270422902499995
ABLIM2	0.026002984999999867
ABO	0.013058265333333985
ABR	0.9024216257777784
ABRA	-0.03539386199999939
ABRACL	0.9375653566666671
ABT1	-0.18606084933333555
ABTB1	0.11526816466666645
ABTB2	0.18513379599999968
ACAA1	-0.022866096333334696
ACAA2	0.0626940833333336
ACACA	-0.12218582355555441
ACACB	-0.8313618043333344
ACAD10	-0.36504851366666635
ACAD11	-0.6851603190000013
ACAD8	-0.0043280800000005115
ACAD9	-0.05976229266666522
ACADL	-0.032449745666667695
ACADM	-0.7824360716666661
ACADS	0.11415030133333381
ACADSB	0.082051159833334
ACADVL	0.24188566988889093
ACAN	-0.04703538066666724
ACAP1	-0.9693948779999992
ACAP2	-0.4367974608888918
ACAP3	-0.0663909966666667
ACAT1	-1.1052886233333314
ACAT2	-0.6665368966666669
ACBD3	-0.03878793333333341
ACBD4	0.138475009333332
ACBD5	-0.08505552511111159
ACBD6	-0.271995096666668
ACBD7	0.06770901483333258
ACCS	-0.42386189916666694
ACCSL	-0.03355239449999914
ACD	0.19044819633333354
ACE	0.03568428916666733
ACE2	-0.10266110433333342
ACER1	0.07564384633333354
ACER2	0.0025621601666676597
ACER3	0.2784128016666667
ACHE	0.07845184511111114
ACIN1	0.3983081983333321
ACKR1	0.009494020666667602
ACKR2	2.2401624133333318
ACKR3	0.24270262833333334
ACKR4	-0.01337883258333239
ACLY	-0.3550626483333321
ACMSD	-0.0075977323333331626
ACO1	-0.5410671433333327
ACO2	-0.8051981256666672
ACOD1	0.033221226666666936
ACOT1	-0.02735861600000078
ACOT11	0.3367714681666669
ACOT12	0.08992618599999957
ACOT13	-0.23439744999999945
ACOT2	0.01636408999999972
ACOT4	0.22259213899999963
ACOT6	5.8341999999989014e-05
ACOT7	-0.11734795138888998
ACOT8	0.05347208466666409
ACOT9	-0.1381672853333331
ACOX1	-0.09178537133333453
ACOX2	0.0026115236666663932
ACOX3	-0.7885519193333312
ACP1	-0.5363777499999998
ACP2	-0.40596608866666806
ACP5	0.008585220666667226
ACP6	0.5167658740000007
ACP7	-0.015966819333334215
ACPP	-0.10520730400000211
ACPT	-0.04649024200000085
ACR	-0.07687539800000032
ACRBP	0.07794685466666706
ACRC	-0.02054200766666625
ACSBG1	-1.4378462139999995
ACSBG2	0.13614084166666718
ACSF2	0.2326282768333341
ACSF3	0.055404206666666234
ACSL1	0.924525624666666
ACSL3	-0.3573504456666683
ACSL4	0.11293401058333252
ACSL5	0.015817343133333495
ACSL6	-0.03244765375000025
ACSM1	0.044335806999999505
ACSM2B	-0.011780983999999606
ACSM3	1.9499789288888891
ACSM4	-0.036451690333333175
ACSM5	0.007296780733334174
ACSM6	-0.054408922666665305
ACSS1	1.383983111
ACSS2	-0.15249686425000064
ACSS3	0.07999564166666495
ACTA1	0.2612603233333344
ACTA2	-0.11515737666666936
ACTB	-0.0016266166666678572
ACTBL2	0.021077042166665727
ACTC1	-0.07077032999999933
ACTG1	0.024982053333335585
ACTG1P4	0.09301371600000063
ACTG2	0.1064037916666658
ACTL10	0.013278469333334542
ACTL6A	-0.5188315700000015
ACTL6B	-0.05199367499999852
ACTL7A	-0.02408165133333462
ACTL7B	-0.005507364666666348
ACTL8	-0.08524478433333194
ACTL9	0.048698060666666265
ACTN1	0.48886084000000096
ACTN2	0.10661512266666673
ACTN3	-0.0035705133333348016
