gene	value
A1BG	-0.006875244666666447
A1BG-AS1	-0.09211464566666638
A1CF	0.04756945922222222
A2M	0.38419717466666636
A2ML1	-0.025557088000001116
A3GALT2	0.0038043165000001267
A4GALT	-0.03291075733333315
A4GNT	-0.021042077666667325
AAAS	0.0033133503333342418
AACS	-0.34044262500000144
AADAC	0.01587084966666641
AADACL2	0.028694406666667227
AADACL3	0.005323841000000051
AADACL4	-0.4699579890000001
AADACP1	0.030802814666666123
AADAT	0.24737143658333327
AAED1	0.03414247233333079
AAGAB	-0.151727239666668
AAK1	-0.03555430025000117
AAMDC	0.709773405
AAMP	-0.04646185500000044
AANAT	0.03962502599999951
AAR2	0.08879917299999818
AARD	0.021157840999999955
AARS	-0.6942387133333341
AARS2	-0.26786790566666596
AASDH	0.0362628366666673
AASDHPPT	-0.27482930783333437
AASS	-0.012761434166666419
AATBC	0.021633687666665402
AATF	0.2955598466666647
AATK	0.059249713111110935
ABAT	0.16450026455555644
ABCA1	3.295877422666666
ABCA10	0.017981897333333663
ABCA11P	-0.13344504833333382
ABCA12	-0.03661198649999964
ABCA13	-1.263285021333334
ABCA17P	-0.006439176333334018
ABCA2	0.027332990333334806
ABCA3	-1.1315576679999992
ABCA4	-0.12314705766666556
ABCA5	0.047612377444444576
ABCA6	0.9386196326666667
ABCA7	0.14751899949999991
ABCA8	0.33843634183333293
ABCA9	0.35161164649999943
ABCB1	2.8822715531666674
ABCB10	-0.034299790000000385
ABCB11	-0.025612588333333797
ABCB4	0.7552750126666652
ABCB5	0.01785242500000006
ABCB6	1.2569438210000001
ABCB7	0.5201767633333318
ABCB8	0.08541844066666648
ABCB9	0.006249882888891278
ABCC10	-0.38711951299999914
ABCC11	0.009714895666665946
ABCC12	0.04753621300000077
ABCC13	-0.0434120793333328
ABCC2	0.03323255333333286
ABCC3	4.175100898999999
ABCC4	1.171047148333333
ABCC5	-0.5260124964444444
ABCC6	0.045520465388889875
ABCC6P1	0.02893833599999951
ABCC6P2	0.12061521233333306
ABCC8	-0.16360291400000015
ABCC9	0.020248262166664865
ABCD1	0.3295067069999984
ABCD2	-0.005206916166666353
ABCD3	-0.27210530633333274
ABCD4	0.03384153799999989
ABCE1	0.47387355666666764
ABCF1	-0.07816161333333582
ABCF2	-0.41605579188888875
ABCF3	-0.22654217566666546
ABCG1	0.2884931533333326
ABCG2	0.10551890833333388
ABCG4	-0.009234531999999795
ABCG5	0.005435563000000698
ABCG8	0.056763074333333385
ABHD1	0.005835028666666631
ABHD10	-0.12371607633333426
ABHD11	0.03388597083333433
ABHD11-AS1	0.02198465533333316
ABHD12	-0.1218057715555565
ABHD12B	0.012577463111112408
ABHD13	-0.027099368166666693
ABHD14A	-0.47973371333333326
ABHD14B	-0.5731922029999996
ABHD15	-0.705750711666667
ABHD16A	0.15204755999999797
ABHD16B	-0.0025158696666665037
ABHD17A	0.06441970283333376
ABHD17B	-0.04381563858333326
ABHD17C	0.020531027666667256
ABHD2	0.016261615750000402
ABHD3	-0.19336699600000173
ABHD4	-0.042145701333333285
ABHD5	1.3539517146666658
ABHD6	-0.24934162066666765
ABHD8	-0.18609087600000151
ABI1	0.14441685249999914
ABI2	0.018323816999999742
ABI3	-0.010140104666667149
ABI3BP	-0.06116117799999987
ABL1	0.24925471155555634
ABL2	0.5259425600000007
ABLIM1	0.7533266185
ABLIM2	0.07243661066666718
ABO	-0.022433645000000446
ABR	0.9276380256666652
ABRA	-0.010518068999999741
ABRACL	0.9061057533333337
ABT1	-0.07897705133333588
ABTB1	0.1326686016666656
ABTB2	0.23692017466666648
ACAA1	-0.20110415499999945
ACAA2	0.2881893466666696
ACACA	-0.15943554688888817
