gene	value
A1BG	14.160086620000001
A1BG-AS1	-0.703332679999999
A1CF	-153.14637885000002
A2M	-2035.2350974845003
A2M-AS1	21.035428489999997
A2ML1	0.18743297050000063
A4GALT	-1.1635611000000026
A4GNT	-0.05608303900000067
AA06	0.8412688100000008
AAAS	7.471637099999981
AACS	-17.609852399999994
AACSP1	0.0405382620000001
AADAC	1.27794675
AADACL2	-0.444792407
AADACP1	-0.9737334820000001
AADAT	2.6790025799999952
AAGAB	-15.836970743333339
AAK1	-40.937893036285715
AAMDC	0.07765065066666921
AAMP	-113.79119700000001
AANAT	1.4692324699999997
AAR2	-43.93463919999999
AARS1	-388.76400949999993
AARS2	3.5326818049999957
AASDH	0.48044572999999957
AASDHPPT	-166.5137625173333
AASS	-12.484510240000002
AATBC	-1.3512770029999999
AATF	-74.92844059999999
ABAT	3.3809418633333337
ABCA1	124.58498097600003
ABCA11P	35.10247015
ABCA12	-0.1029345880000001
ABCA13	-0.019995221666666563
ABCA17P	2.49911449
ABCA2	3.7424228533333377
ABCA3	-18.09061917999999
ABCA4	-3.0311625394999986
ABCA5	7.076153268000006
ABCA6	0.18784671600000014
ABCA7	28.37129701
ABCA8	0.3972636446666682
ABCA9	0.12717298566666635
ABCB1	-0.28511848450000077
ABCB10	-21.26142679999998
ABCB11	0.5322821759999998
ABCB4	-0.23489053699999918
ABCB5	-1.0525645262500003
ABCB6	-1.1748790350000036
ABCB7	176.50849010000002
ABCB8	-3.2818132250000005
ABCB9	11.397339430000006
ABCC1	113.49466589500003
ABCC10	20.209175990000006
ABCC11	-2.1859543585
ABCC12	0.4144658159999999
ABCC13	0.10767293850000037
ABCC2	127.3754356
ABCC3	1.595608760000001
ABCC4	-26.15519770075001
ABCC5	3.43239111333331
ABCC6	22.47249722
ABCC6P1	16.59094416
ABCC6P2	124.30229370000004
ABCC8	-0.46913638500000054
ABCC9	0.06240973279999995
ABCD1	9.675525190000002
ABCD2	-0.31024012
ABCD3	164.99256835000006
ABCD4	13.646224255000007
ABCE1	-191.09812745
ABCF1	47.6304452
ABCF2	-39.60095861999999
ABCF3	20.824099200000006
ABCG1	0.45080924549999946
ABCG2	-134.8882531
ABCG4	3.2188390599999988
ABCG5	1.5633453500000005
ABCG8	2.752868679999999
ABHD1	-0.9222437296666683
ABHD10	-21.335722799999985
ABHD11	11.515169453333336
ABHD12	35.85311491
ABHD12B	0.10408393550000028
ABHD13	-29.861753035
ABHD14B	28.868223400000005
ABHD15	16.91572248
ABHD16A	-10.093693119999983
ABHD16B	-0.46314064000000066
ABHD17A	137.37108829999997
ABHD17B	-11.172598306666671
ABHD17C	229.61280119999998
ABHD18	7.479539773333336
ABHD2	139.5382970245
ABHD3	364.4231915
ABHD4	-23.71828445
ABHD5	-0.2643450977499988
ABHD6	14.8381771715
ABHD8	20.314183040000003
ABI1	-5.516781032333341
ABI2	-26.209172029750007
ABI3	2.9792000200000004
ABI3BP	0.3168944269999998
ABITRAM	-93.71666100000002
ABL1	2.7694672000000082
ABL2	-26.933541309999995
ABLIM1	103.98264069999999
ABLIM2	-0.23946275739999834
ABLIM3	10.59054648
ABO	-1.0945269540000009
ABR	78.71059246499999
ABRA	0.06953156149999984
ABRACL	517.6439081000001
ABRAXAS1	-6.025012155000006
ABRAXAS2	-42.03347355
ABT1	23.473420799999985
ABTB1	1.8133508548000012
ABTB2	9.859552425000004
ABTB3	-0.4647547205000002
ACAA1	0.9322120499999755
ACAA2	25.011571520000018
ACACA	-8.767670284999994
ACACB	11.526107440333337
ACAD10	0.8429878235000032
ACAD8	0.3553512000000012
ACAD9	-9.083592780000004
ACADL	-32.5302500215
ACADM	-367.99507300000005
ACADS	16.215789339999994
ACADSB	-4.449173790000003
ACADVL	85.0784696
ACAN	-1.36456633325
ACAP1	-1.706211009999997
ACAP2	-29.61790282933334
ACAP3	12.875574025000006
ACAT1	-135.01232247333326
ACAT2	61.572788
ACBD3	16.050585150000018
ACBD4	19.3224662
ACBD5	131.90375331500002
ACBD6	-205.80477640000004
ACCS	-5.2022048299999994
ACD	11.816386499999993
ACE	-2.378204483500001
ACE2	-1.2625304075
ACER1	0.44400565000000114
ACER3	-7.28952089500001
ACHE	-2.5770692466666656
ACIN1	8.099999999999994
ACKR1	-0.4213203244999999
ACKR2	-1.0604932096666655
ACKR3	0.009008495333334032
ACKR4	-0.04123425100000011
ACKR5	-1.0587318670000005
ACLY	36.203033033333384
ACMSD	-6.974041299
ACO1	-38.969105278
ACO2	-43.32219136000002
ACOD1	-0.3997891280000001
ACOT1	199.40781350000003
ACOT11	3.7588210342500012
ACOT12	-1.7148035179999992
ACOT13	275.4128042
ACOT4	-0.7336671289999996
ACOT6	-0.1957084060000005
ACOT7	-45.78693474000002
ACOT8	16.239080485000002
ACOT9	175.73044490000007
ACOX1	114.52125227300002
ACOX2	24.6514601
ACOX3	0.7084662700000024
ACOXL	-1.467692232
ACP1	-101.27323370474994
ACP2	-44.906703599999986
ACP3	0.08831598100000093
ACP4	-0.8918895400000011
ACP5	12.262161149999997
ACP6	-4.088937660499994
ACR	0.16833019999999976
ACRBP	2.2183497400000007
ACRV1	0.30850652800000056
ACSBG1	0.07902904450000037
ACSBG2	-1.6894792370000005
ACSF2	55.41417292
ACSF3	-3.9020008499999967
ACSL1	-2.780094765000001
ACSL3	2.5519885500000328
ACSL4	-5.144939375666674
ACSL5	64.622577017
ACSL6	-0.5506676578000009
ACSM1	0.6756697410000001
ACSM2A	0.24781445900000065
ACSM2B	-0.8445674499999996
ACSM3	0.8569681350000007
ACSM5	1.1071840230000003
ACSS1	1.4881323454000004
ACSS2	13.066247099999998
ACSS3	-40.341490609999994
ACTA1	-0.8654368000000003
ACTA2	1.6153756743333334
ACTA2-AS1	-0.21892057699999956
ACTB	1829.7278082499988
ACTC1	-1.5614949800000026
ACTG1P17	-0.1465950283333335
ACTG1P25	6.0874760299999995
ACTG1P4	14.541910778499997
ACTG2	-0.6473790649999991
ACTL10	1.5586466299999984
ACTL6A	47.763143799999995
ACTL6B	-5.455221960999998
ACTL7A	-2.1157061299999995
ACTL7B	0.01850750000000012
ACTL8	-8.96193941
ACTL9	-0.9017301029999993
ACTMAP	-16.8824872
ACTN1	465.47932124249996
ACTN2	0.37361803799999826
ACTN3	2.41123449
ACTN4	78.6562907
ACTR10	73.02180900000008
ACTR1A	81.07399909999995
ACTR1B	-14.968312000000026
ACTR2	127.0919030928572
ACTR3	217.87447740800008
ACTR3-AS1	-0.25502647899999964
ACTR3B	-8.537498040000003
ACTR3BP2	3.3389033030000004
ACTR3BP5	-2.0026585034999993
ACTR3C	1.9435680800000004
ACTR5	4.262729280000002
ACTR6	2.7225619259999974
ACTR8	-14.863117474999996
ACTRT2	-0.5523620650000005
ACTRT3	15.859253359999997
ACVR1	51.442222300000026
ACVR1B	12.898698735000004
ACVR1C	-0.7578669490000003
ACVR2A	-17.785198754999996
ACVR2B	-0.42230369166667003
ACVR2B-AS1	-1.5742683799999995
ACVRL1	0.15658366749999963
ACY1	2.476418737333333
ACY3	0.04937118999999868
ACYP1	121.33445715
ACYP2	31.081730379999996
ADA	210.83520449999997
ADA2	2.1603736599999994
ADAD1	0.30076754949999973
ADAD2	-3.9703908400000003
ADAD2-AS1	2.0998010600000043
ADAM10	176.5625898166665
ADAM11	-0.9358807049999989
ADAM12	-0.8607309475999996
ADAM15	-2.69955135499999
ADAM17	-16.992553906666643
ADAM18	1.1346949989999988
ADAM19	10.866817815000001
ADAM2	0.47385068900000027
ADAM20	0.8777330120000002
ADAM21	-0.5660789344999992
ADAM22	0.9616037345000024
ADAM23	0.6005752100000006
ADAM28	0.8106518562500007
ADAM30	0.48069447850000024
ADAM32	0.21643730100000003
ADAM33	15.915355215499993
ADAM3A	-0.2482697199999997
ADAM5	-0.35661487199999975
ADAM6	-1.1614244550000006
ADAM7	0.08263152666666684
ADAM7-AS2	-0.11753364800000021
ADAM8	-4.438418205999998
ADAM9	-50.71470461600006
ADAMDEC1	0.4369946449999995
ADAMTS1	-0.5739879424999996
ADAMTS10	-3.3033343650000013
ADAMTS12	0.7012757475000004
ADAMTS13	0.005975190000000907
ADAMTS14	1.4673495800000005
ADAMTS15	-0.10430000549999985
ADAMTS16	-1.126934589000001
ADAMTS16-DT	-0.4037730279999998
ADAMTS17	-0.2347776589999997
ADAMTS18	0.07018173049999987
ADAMTS19	-0.45009959099999985
ADAMTS2	-1.5421156309999997
ADAMTS20	0.2343660445000002
ADAMTS3	-0.08833043299999987
ADAMTS4	-5.18925965
ADAMTS5	0.10151364875000013
ADAMTS6	5.0795429473333344
ADAMTS7	-0.706916503333332
ADAMTS8	1.0958968329999994
ADAMTS9	-1.3437930280000003
ADAMTS9-AS1	-0.7115661904999993
ADAMTS9-AS2	-0.11041785619999978
ADAMTSL1	-0.30245166816666735
ADAMTSL2	-3.606293469999999
ADAMTSL3	1.2217195484999994
ADAMTSL4	7.766710785000001
ADAMTSL4-AS2	-1.9390876969999997
ADAMTSL5	4.834995110000001
ADAP1	-3.532165649999996
ADAP2	11.11863083
ADAR	-156.46705429999997
ADARB1	-2.3216818016000005
ADARB2	-1.3446472150000002
ADARB2-AS1	-2.0553558999999986
ADAT1	-5.029955980000011
ADAT2	-18.106792604999995
ADAT3	3.155562936666662
ADCK1	-29.40721388
ADCK2	-3.94689813075
ADCK5	2.1876833999999974
ADCY1	-1.3861360119999997
ADCY10	0.6513874944999989
ADCY10P1	6.218365797000001
ADCY2	-0.9620693959999986
ADCY3	1.0525413200000031
ADCY4	-2.0169499900000005
ADCY5	0.19916463050000033
ADCY6	43.61640019999999
ADCY6-DT	15.01922257
ADCY7	-2.808272405500002
ADCY8	0.7629545220000002
ADCY9	-33.65361260666667
ADCYAP1	0.03217037550000157
ADCYAP1R1	-1.3488585574999998
ADD1	29.840993775
ADD2	0.3896068100000001
ADD3	390.4910844
ADD3-AS1	2.0716840549999995
ADGB	0.06240818700000039
ADGB-DT	-0.5384797150000011
ADGRA1	1.6913415499999989
ADGRA2	-1.2394538955000005
ADGRA3	10.816550284333339
ADGRB1	-8.823692039999997
ADGRB2	1.1663118099999998
ADGRB3	0.071064915
ADGRD1	0.9104912070000015
ADGRD2	-1.4951577500000006
ADGRE1	2.3364592459999987
ADGRE2	4.9619833295
ADGRE3	-1.5829372
ADGRE5	8.71943806
ADGRF1	-0.3282101500000003
ADGRF2P	-0.007449568000000184
ADGRF3	-0.6511593955000006
ADGRF4	10.716610444999997
ADGRF5	0.06260238599999912
ADGRF5-AS1	0.5977599649999998
ADGRG1	47.040562205
ADGRG2	0.08491491599999978
ADGRG3	-0.6810899865
ADGRG4	-0.15978658100000054
ADGRG5	-0.3689818024999987
ADGRG6	-75.15299022433331
ADGRG7	2.099775717
ADGRL1	-7.306900219999996
ADGRL2	-105.21171140000001
ADGRL3	0.4818640780000001
ADGRL4	0.19087335199999966
ADGRV1	2.0383398572000004
ADH1A	1.1242092599999998
ADH1B	0.5517169202499996
