gene	value
-	-0.03693938105564727
1-Dec	0.0
1-Mar	-0.8350276176985333
1-Sep	0.41374220127655104
10-Mar	0.0
10-Sep	0.15486181603740645
11-Mar	0.030508838262703203
11-Sep	-0.6308258804617033
12-Sep	-0.02498427230647478
14-Sep	-0.028428484667827235
15-Sep	0.40219627526625157
2-Mar	-0.7751630815308421
2-Sep	0.25473039455952584
3-Mar	-0.2672170062208066
3-Sep	0.2883083855399391
4-Mar	0.011582124581876477
4-Sep	-2.107092210438352
5-Mar	0.1290548488900769
6-Mar	0.1961163042718237
6-Sep	0.355737362109529
7-Mar	0.06129226732194315
7-Sep	0.06732884220325097
8-Mar	-0.31947878789942497
8-Sep	-0.18719152694980723
9-Mar	-0.17681396562742524
9-Sep	0.8272949874407081
A1BG	-0.4206203784336644
A1BG-AS1	-0.04964142804399696
A1CF	-0.02760895415347342
A2M	1.2771826616271085
A2M-AS1	-0.4526936605818166
A2ML1	-0.044793332158095264
A2MP1	0.09306048718344714
A3GALT2	0.0
A4GALT	-0.14520147644271963
A4GNT	-1.8211163146672928
AA06	0.0
AAAS	0.11352834866157568
AACS	-0.3677512921982711
AACSP1	-0.059967531576304973
AADAC	-0.07721613817894202
AADACL2	0.0
AADACL2-AS1	0.04283041277188974
AADACL3	0.0
AADACL4	0.0
AADACP1	0.25907924882016653
AADAT	0.14035942357312248
AAED1	-0.08956083732074438
AAGAB	-0.44362760926321787
AAK1	0.059242399977048166
AAMDC	-0.5057900250424021
AAMP	-0.4115476467930428
AANAT	0.051859716362212586
AAR2	-0.14664305964695856
AARD	0.012601123944026077
AARS,EXOSC6	1.8636117459520447
AARS2	0.25893865769686464
AARSD1,PTGES3L,PTGES3L-AARSD1	-0.3154115208422974
AASDH	-0.1904318622820096
AASDHPPT	0.5546737468341205
AASS	-0.36024486494159724
AATBC	-0.1672761356406571
AATF	0.3795638390827909
AATK	-0.10013992587938364
AATK-AS1	0.0
ABALON	-0.06472502091796617
ABAT	-0.877668458989306
ABCA1	0.3175513224861324
ABCA10,ABCA5	-0.6901481514290833
