gene	value
A1CF	-0.6887027272727266
A2M	-0.9613554545454548
A4GALT	-0.3156029292929299
A4GNT	-0.006893232323232468
AAAS	-0.04491121212121296
AACS	0.7481614141414132
AADAC	-0.7867223232323255
AAGAB	0.2939577777777762
AAK1	-0.06147806060605987
AAMDC	0.10357676767676693
AAMP	0.06555979797979639
AANAT	-0.018065353535352102
AAR2	0.40404313131313163
AARS	0.2590424242424252
AARSD1	0.40663383838383815
AASDHPPT	0.34751818181818095
AASS	-1.6242218181818178
AATF	0.6248966666666664
AATK	-0.2046689898989884
ABAT	-1.4394156902356894
ABCA1	-0.16373208080808066
ABCA11P	-0.07113464646464651
ABCA12	-0.0004031313131318548
ABCA2	-0.1728872727272739
ABCA3	0.03826636363636293
ABCA4	-0.14244474747474722
ABCA5	-0.21199868686868673
ABCA6	-1.5525913131313143
ABCA7	-0.041240303030304126
ABCA8	-2.940435656565657
ABCB1	-0.23702343434343565
ABCB11	-0.742920555555556
ABCB4	-1.4966463131313148
ABCB6	0.09203974747474764
ABCB7	-0.1257010101010092
ABCB8	-0.05255616161616139
ABCB9	-0.014645202020201697
ABCC1	0.2475599494949492
ABCC10	0.6551546969696966
ABCC2	-0.616769292929293
ABCC3	-0.5341220875420873
ABCC4	1.0479767676767677
ABCC5	0.5728756565656576
ABCC6	-0.8251444949494964
ABCC6P2	0.929250202020202
ABCC8	-0.14829297979798017
ABCC9	-0.32449505050505056
ABCD1	0.2432610101010093
ABCD2	-0.039039898989899235
ABCD3	-0.40138474747474717
ABCD4	-0.15642767676767466
ABCE1	0.3628094444444452
ABCF1	0.6795519191919182
ABCF2	0.23065890909090925
ABCF3	-0.06929535353535332
ABCG1	0.4610613636363645
ABCG2	-1.504004444444444
ABCG4	-0.1338267676767675
ABCG5	-1.1852034343434372
ABHD10	-0.20839696969696941
ABHD11	0.010454848484848789
ABHD14A	0.21485171717171703
ABHD17A	0.039610202020202046
ABHD17B	0.10024999999999995
ABHD18	-0.5380322222222231
ABHD2	-0.9954441161616154
ABHD3	0.6013579797979807
ABHD4	0.23303919191919142
ABHD5	-0.10580131313131336
ABHD6	-0.7154527272727282
ABHD8	-0.0034469696969701147
ABI1	0.7603654040404031
ABI2	0.10353212121212163
ABI3BP	-0.10201686868686899
ABL1	0.29883929292929245
ABL2	0.026844141414141376
ABLIM1	0.18006020202020068
ABLIM2	-0.10797353535353471
ABLIM3	-0.9896276767676779
ABO	-0.21297946127946066
ABR	-0.12158531986531962
ABT1	0.45725131313131406
ABTB2	-0.22028919191919272
ACAA1	-1.5513679797979805
ACAA2	-0.772982828282827
ACACA	0.6700159090909086
ACACB	-1.4927438888888878
ACAD10	-0.2460217171717174
ACAD8	-0.291162222222221
ACADL	-1.4695794949494951
ACADM	-0.8368871717171693
ACADS	-1.2536820202020182
ACADSB	-1.4679223232323233
ACADVL	-1.0593010101010094
ACAN	-0.05994531986531948
ACAP1	-0.250894292929293
ACAP2	0.2958734343434335
ACAT1	-0.9360570707070721
ACAT2	0.08972404040403958
ACBD3	0.9902110101010102
ACBD4	-1.0948738383838377
ACD	0.4365648484848492
ACE	-0.06227727272727268
ACE2	-0.1053909090909082
ACHE	-0.0367257575757578
ACIN1	0.17392454545454417
ACKR1	-0.01888050505050476
ACKR2	-0.07844060606060621
ACKR3	0.7157181818181817
ACKR4	-0.12209070707070735
ACLY	1.2835231649831629
ACO2	0.04516202020202087
ACOT1	-0.6864025252525252
ACOT11	-0.023346969696969033
ACOT13	-0.5889009090909081
ACOT7	0.27740227272727314
ACOT8	0.24297484848484974
ACOT9	0.42517898989899017
ACOX1	-0.3814948232323232
ACOX2	-1.3068536363636376
ACOX3	-0.23139565656565608
ACOXL	-0.03710181818181901
ACP1	0.6642498653198663
ACP2	-0.22689676767676747
ACP5	0.22005777777777524
ACP6	0.5998087878787883
ACPP	-0.022985050505051063
ACR	-0.1496128282828284
ACRV1	-0.11239272727272764
ACSBG1	-0.07760898989898957
ACSBG2	0.0017495959595965616
ACSF2	-0.3549501010101004
ACSL1	-1.7433749494949495
