gene	value
A1BG	1.079434467494405
A1BG-AS1	1.6780719051126378
A1CF	0.3087275906756286
A2M	0.40341451563975816
A2M-AS1	0.4568974619328614
A2ML1	0.0
A2MP1	1.584962500721156
A3GALT2	0.0
A4GALT	2.584962500721156
A4GNT	0.0
AA06	0.0
AAAS	-0.6485276294986217
AACS	0.4375800679299324
AACSP1	-1.0
AADAC	1.0
AADACL2	2.321928094887362
AADACL2-AS1	0.0
AADACL3	0.0
AADACL4	0.0
AADACP1	-0.7369655941662061
AADAT	-0.08488889758651297
AAED1	-0.41990325445065935
AAGAB	-0.0047146938720512566
AAK1	0.08074741388436202
AAMDC	0.21076709621682
AAMP	0.010489057090515175
AANAT	0.0
AAR2	0.22826898767311654
AARD	0.0
AARS	0.6545034339742326
AARS2	-0.7831886109268522
AARSD1	0.4749089552562422
AASDH	0.09818039393890299
AASDHPPT	-0.17546744022550875
AASS	-0.35237606942693844
AATBC	-2.584962500721156
AATF	-0.23746774179854668
AATK	0.5362238457989026
AATK-AS1	-1.584962500721156
ABALON	0.08505576995277231
ABAT	-0.23710892134411132
ABCA1	0.4806628326127065
ABCA10	0.0
ABCA11P	-0.4594316186372973
ABCA12	2.3219280948873626
ABCA13	1.0
ABCA17P	0.0
ABCA2	0.6251515908368548
ABCA3	0.6780719051126374
ABCA4	1.736965594166206
ABCA5	0.7997013495141694
ABCA6	-1.0
ABCA7	1.5405683813627027
ABCA8	0.0
ABCA9	0.0
ABCA9-AS1	0.0
ABCB1	0.5452641737572179
ABCB10	-0.750640531063282
ABCB11	0.0
ABCB4	0.32489966141865345
ABCB5	0.0
ABCB6	0.38941169160334965
ABCB7	0.2609894798487691
ABCB8	-0.07400058144377741
ABCB9	0.26678654069490104
ABCC1	-0.3774232074790671
ABCC10	-0.21272932398572753
ABCC11	1.054447784022376
ABCC12	0.0
ABCC13	1.0
ABCC2	0.3337582223491822
ABCC3	1.0939761482090127
ABCC4	-0.13326653086346418
ABCC5	0.40335569423120887
ABCC5-AS1	0.0
ABCC6	0.8361471886772058
ABCC6P1	1.1739543668773127
ABCC6P2	-0.15432814639129422
ABCC8	0.0
ABCC9	0.5849625007211561
ABCD1	0.6828098241193015
ABCD2	0.0
ABCD3	-0.4987722782019688
ABCD4	0.41142624572646547
ABCE1	-0.5441000723329559
ABCF1	-0.33060938374457116
ABCF2	-0.11929892837234313
ABCF3	0.3378696387563842
ABCG1	0.0
ABCG2	-0.43171624042547396
ABCG4	0.0
ABCG5	0.5700892242396263
ABCG8	0.6153361497646745
ABHD1	-0.516249750637142
ABHD10	-0.033015057227963496
ABHD11	-0.27172910738620004
