gene	value
1-Dec	0.0
1-Mar	-0.0037985789509122903
1-Sep	0.0536769503331977
10-Mar	0.0
10-Sep	-0.02411117932363016
11-Mar	0.0
11-Sep	0.04173300107756628
12-Sep	-0.014272018995300416
14-Sep	0.004185228071084769
2-Mar	0.18972524239712918
2-Sep	0.05571343405193829
3-Mar	0.10572295456167247
3-Sep	0.004078535427850222
4-Mar	0.0
4-Sep	0.05601689480539816
5-Mar	0.00040836900481444616
5-Sep	0.008759802796425568
6-Mar	-0.014309594328754116
6-Sep	0.12038463628942209
7-Mar	0.23814460213741828
7-Sep	0.16387408717378804
8-Mar	0.09277207356091566
8-Sep	0.03360376993338532
9-Mar	-0.02643218151890192
9-Sep	-0.1302396294289263
A1BG	-0.013712179977414585
A1CF	0.22243485017755749
A2M	-0.0717529647197015
A2ML1	0.0
A3GALT2	-0.1685449554294135
A4GALT	0.7722167764470078
A4GNT	0.03696757214273932
AAAS	0.004750568940906863
AACS	0.05451731105907465
AADAC	0.008041489011476388
AADACL2	0.0
AADACL3	0.0
AADACL4	0.0
AADAT	0.09702701499526517
AAGAB	0.16317736332330757
AAK1	0.22802325211343666
AAMDC	0.11581378064545444
AAMP	0.1238261376547527
AANAT	0.06481143410697016
AAR2	0.08530329072747556
AARD	0.011800375096535752
AARS	-0.19869273479517346
AARS2	0.12911008364337828
AARSD1	0.048245558015230575
AASDH	0.01259566792649558
AASDHPPT	0.23636776695206718
AASS	0.07686622229994633
AATF	0.0
AATK	-0.15662267614130054
ABAT	0.04793820668376281
ABCA1	-0.21558086549233302
ABCA10	0.10111621445078112
ABCA12	0.015659519490270793
ABCA13	0.0018153470495748808
ABCA2	-0.024444401215436784
ABCA3	-0.44284922293779605
ABCA4	-0.11648136803307008
ABCA5	-0.10284336063303723
ABCA6	-0.4071687801647954
ABCA7	0.06697429669884691
ABCA8	0.38112421761132054
ABCA9	-0.3877732709988715
ABCB1	0.09119238906760252
ABCB10	-0.1524939801130487
ABCB11	0.05487428218988409
ABCB4	0.21314808019249742
ABCB5	-0.8425597308540979
ABCB6	0.18685382353389546
ABCB7	-0.14261159776576982
ABCB8	0.07970647829805699
ABCB9	0.257251209050537
ABCC1	0.3679998632265302
ABCC10	0.09094254850005257
ABCC11	-0.004207200789250187
ABCC12	0.0
ABCC2	0.053214522343146164
ABCC3	0.09545916837297153
ABCC4	0.14894595763210194
ABCC5	0.053394465580676176
ABCC6	0.1088636484657286
ABCC8	0.0
ABCC9	0.1241479502051317
ABCD1	-0.09791357464420436
ABCD2	0.20078706062584017
ABCD3	0.34072525217815475
ABCD4	0.16969207133250963
ABCE1	0.19725888185105678
ABCF1	0.0
ABCF2	-0.6794666940841232
ABCF3	0.33238983770426156
ABCG1	0.04291669842833701
ABCG2	0.4215622603991398
ABCG4	-0.04487268965559228
ABCG5	0.19551562317301308
ABCG8	0.255727277372215
ABHD1	-0.05279281825924345
ABHD10	0.18906054211061107
ABHD11	-0.09222011719861722
ABHD12	-0.029523860912755495
ABHD12B	0.09014061210610881
ABHD13	0.1909420013782055
ABHD14A	0.2849333869167445
ABHD14A-ACY1	0.0
ABHD14B	-0.14761624596635237
ABHD15	0.2163268806328107
ABHD16A	0.0
ABHD16B	0.0002321588853870793
ABHD17A	0.02223895518948993
ABHD17B	0.27463476855560254
ABHD17C	0.10831108597190964
ABHD18	-0.058878672201131854
ABHD2	0.08172849916793012
ABHD3	0.21012706063141806
ABHD4	-0.024173426762441608
ABHD5	-0.07087543197509039
ABHD6	-0.06656743849767577
ABHD8	-0.14853318926258519
ABI1	0.19702537232448947
ABI2	0.020808165892187702
ABI3	0.007127295486696245
ABI3BP	-0.4311090025212354
ABL1	0.14121305410381435
ABL2	0.3743369626505739
ABLIM1	0.020439367488608973
ABLIM2	0.03036030926031863
ABLIM3	-0.10281295900176346
ABO	0.0
ABR	0.0
ABRA	0.0013106525210366034
ABRACL	-0.18568312519184715
ABRAXAS1	-0.3214325157193323
ABRAXAS2	0.06311015510324491
ABT1	0.17991931754240253
ABTB1	-0.16296241737694594
ABTB2	0.10442418156231459
AC000120.2	0.0
AC000120.3	0.0
AC001226.2	0.1070623398753835
AC002094.3	0.0
AC002310.4	0.0
AC002310.5	0.0
AC002985.1	0.0
AC002996.1	0.0
AC003002.1	0.0
AC003002.2	0.4399615214011776
AC003002.3	0.0
AC003005.1	0.0
AC003006.1	0.0
AC003688.1	0.0
AC004076.1	0.0
AC004080.3	0.0
AC004233.2	0.024096736179097272
AC004593.3	-0.17568599269078145
AC004687.2	-0.02078077207902611
AC004691.2	0.0
AC004754.1	0.0
AC004805.1	0.0
AC004832.3	0.0
AC004922.1	0.0
AC004997.1	0.0
AC005020.2	0.0
AC005041.1	0.0
AC005154.5	0.10244310020852612
AC005258.1	0.0
AC005324.3	0.0383483951361248
AC005324.4	0.0
AC005520.1	-0.20633120431670016
AC005551.1	0.0
AC005670.2	0.0
AC005697.1	0.0
AC005702.1	-0.007307918334440083
AC005726.1	-0.02999025316976711
AC005779.2	-0.015912419695990603
AC005832.4	0.0
AC005833.1	-0.020322073824230687
AC005837.2	0.0
AC005943.1	0.0
AC006030.1	0.054664364166589166
AC006059.2	0.03704880248545245
AC006064.6	0.0
AC006254.1	-0.021816030723942184
AC006486.1	0.0
AC006518.7	0.0
AC006538.2	0.0
AC006978.2	0.10649338733467634
AC007040.2	-0.10546717022965008
AC007192.1	0.01820840804469633
AC007240.1	-0.028752313923304462
AC007326.4	-0.019777707170005862
AC007375.1	0.0
AC007731.5	0.0
AC007846.2	-1.1979070547032118
AC007906.2	0.0
AC007998.2	0.05160717955729291
AC008012.1	0.0
AC008073.3	0.0
AC008162.2	0.0
AC008397.1	0.0
AC008397.2	0.0062465265767721115
AC008403.1	0.0
AC008481.3	0.0
AC008537.1	-0.02926139484739201
AC008575.1	-0.12155402396698203
AC008581.2	0.0
AC008676.3	0.0
AC008687.1	0.0
AC008687.4	0.025837614401130055
AC008687.8	0.0
AC008695.1	0.0
AC008750.8	0.0
AC008758.1	0.0
AC008758.4	0.03107846905418144
AC008758.5	0.0
AC008758.6	0.0
AC008763.2	0.0
AC008763.3	0.0
AC008764.1	0.013071534731977162
AC008764.4	0.01469539413642744
AC008770.1	0.0
AC008770.2	0.012245140307295049
AC008878.1	0.0
AC008878.2	0.0
