gene	value
A1BG	0.7879475693088477
A1BG-AS1	0.6908104414887712
A1CF	0.0
A2M	1.3472889537324806
A2M-AS1	-0.6130128468288307
A2ML1	0.7953818334683729
A2MP1	-0.2142171583463834
A3GALT2	0.5104424026219874
A4GALT	0.44186601346556653
A4GNT	0.19373423455987895
AAAS	-0.4218649902808682
AACS	0.3646349851665942
AACSP1	-0.4404155707959591
AADAC	0.0
AADACL2	0.349563106173343
AADACL2-AS1	2.2879650805201286
AAED1	0.13080888361486487
AAGAB	0.005967751818031886
AAK1	0.643832288522427
AAMDC	-0.2440022453847801
AAMP	0.18612975194463566
AANAT	0.3387886028282904
AAR2	-0.41779430907100235
AARD	0.19373423455987895
AARS	-0.04862948385574839
AARS2	0.005069316893651532
AASDH	0.05146844309846266
AASDHPPT	0.0871862834127608
AASS	0.349563106173343
AATF	-0.8566629075815886
ABALON	-0.46008837804680425
ABAT	0.004791406940833021
ABCA1	0.7733182213489013
ABCA10	-0.27953627434731465
ABCA11P	-0.3955288969378019
ABCA12	0.8016580953351888
ABCA13	-0.3618969512171711
ABCA17P	1.5778687926646922
ABCA2	0.005343925574976538
ABCA3	0.6136136847378864
ABCA4	0.44186601346556653
ABCA5	-0.3850145694376545
ABCA7	0.9894156336022073
ABCA9	0.349563106173343
ABCB1	0.3314522078833348
ABCB10	-0.5757292617897107
ABCB10P1	1.7324385155352626
ABCB11	3.878005467869857
ABCB4	0.349563106173343
ABCB5	-0.4404155707959591
ABCB6	0.09105158728411666
ABCB7	0.16893941276681623
ABCB8	-0.13540559598246737
ABCB9	-0.8878568467140573
ABCC1	4.727142054082465
ABCC10	0.04421530011608432
ABCC11	-0.4915010393336505
ABCC2	-0.07996526782129632
ABCC4	-0.15661267335449125
ABCC5	-0.1992569719196986
ABCC6	3.8079992661705493
ABCC9	-0.21556688776277966
ABCD1	0.7125424382468779
ABCD1P4	0.19373423455987895
ABCD2	-0.8773311708816354
ABCD3	-0.07711573487272716
ABCD4	0.05706082546304181
ABCE1	0.07540034679966823
ABCF1	0.14257023319818884
ABCF2	0.0940588292827389
ABCF2P2	0.349563106173343
ABCF3	0.0291208714335891
ABCG1	0.7435752866587428
ABCG2	0.26191756706765723
ABCG5	0.19373423455987895
ABHD1	0.44186601346556653
ABHD10	0.00015225686375863745
ABHD11	-0.050305523413121556
ABHD11-AS1	-0.745461077985218
ABHD12	-0.2560225640847662
ABHD12B	-1.2324344121795567
ABHD13	-0.09684679540503893
ABHD14A-ACY1	0.6778119121164357
ABHD14B	0.058034619295403544
ABHD15	0.07244430248821843
ABHD16A	0.3492714965391954
ABHD17A	-0.10534786351132652
ABHD17AP1	-0.9215055331534452
ABHD17AP5	0.0
