gene	value
5S_rRNA	0.022020296879458074
7SK	-0.026742350058014532
A1BG	0.769963033339786
A1BG-AS1	-0.01781699346408805
A1CF	0.4144760265223142
A2M	-0.4438630433692712
A2M-AS1	0.048981995479908
A2ML1	-0.016691609381078998
A2ML1-AS1	0.0
A2ML1-AS2	0.0
A2MP1	0.03257782065951625
A3GALT2	0.0
A4GALT	-0.7456582200027793
A4GNT	0.3945245019408414
AA06	-0.009591901587844629
AAAS	0.8815394546196806
AACS	-0.878901926608326
AACSP1	-0.09068134543926126
AADAC	2.5117481667374784
AADACL2	-0.009563602505963482
AADACL2-AS1	-0.05818655821242531
AADACL3	-0.06680740740403694
AADACL4	0.0
AADACP1	0.0389870539265712
AADAT	0.3510290250233199
AAGAB	0.15462158980292573
AAK1	-0.7429778787001693
AAMDC	-0.15787224212125217
AAMP	0.11233837726912199
AANAT	0.04420160658914982
AAR2	-0.5102525790644354
AARD	0.0
AARS1	1.0168389671195985
AARS1P1	-0.07139883484285126
AARS2	0.04870860397669752
AARSD1	1.4129532249100687
AARSD1P1	-0.030922534397154373
AASDH	0.08441561180992085
AASDHPPT	-0.1694921639631506
AASDHPPT-AS1	0.03792942902150928
AASS	0.43401160552869067
AATBC	-0.3410167749475497
AATF	0.10364347913267524
ABAT	-1.6473813028784718
ABCA1	-0.6932861125519074
ABCA10	0.14095654230895727
ABCA11P	0.35659001724956174
ABCA12	-0.4112532009781705
ABCA13	-0.015598565950072418
ABCA15P	-0.06955739891458379
ABCA17P	-0.18953990945065408
ABCA2	0.10733732993778045
ABCA3	-0.09102746491414404
ABCA3P1	-0.23301198130585077
ABCA4	-0.5405684340894741
ABCA5	-0.9204143639844204
ABCA6	-0.001962008685070918
ABCA7	-0.6376963570691796
ABCA8	-0.05969669825325199
ABCA9	0.04975139892448531
ABCA9-AS1	0.09059506838406259
ABCB1	0.2713799482463628
ABCB10	0.2669321966346012
ABCB10P1	-0.0005051438297020028
ABCB10P3	0.002080528802592768
ABCB10P4	0.0011651761335170173
ABCB11	0.03220998941228183
ABCB4	0.6346560541929418
ABCB5	0.027807086431796666
ABCB6	0.04241973233749441
ABCB7	-0.25162874006788183
ABCB8	0.3073670063518703
ABCB9	-0.2591192235957296
ABCC1	-1.8472006935237735
ABCC10	-0.8114407788094349
ABCC11	-0.9110789391054548
ABCC12	-0.07301606762792379
ABCC13	-0.020201068350795114
ABCC2	-0.8289183921788688
ABCC3	-0.8888873793292662
ABCC4	0.014105856706888797
ABCC5	-0.5829272278034088
ABCC5-AS1	-0.05163869999276319
ABCC6	0.1902211515932355
ABCC6P1	-0.06574214748450524
ABCC6P2	-0.05185066885230005
ABCC8	-0.18237871131650712
ABCC9	-0.09564333462563362
ABCD1	-1.1401500586950073
ABCD1P2	0.0
ABCD1P3	0.0
ABCD1P4	0.0
ABCD1P5	0.0
ABCD2	0.012104609003582685
ABCD3	-0.011749475589507341
ABCD4	0.08491963131514702
ABCE1	0.6875776954885602
ABCE1P1	-0.019322524735929353
ABCE1P2	0.12369589010955323
ABCE1P3	0.023725347584531264
ABCF1	-0.14739085514462769
ABCF2	0.8895806961346815
ABCF2-H2BK1	-0.09736896090145433
ABCF2P1	-0.05792111052246195
ABCF2P2	0.0
ABCF3	-0.2375714604863033
ABCG1	0.2507287037215178
ABCG2	0.0570645872615998
ABCG4	-0.07881509138464153
ABCG5	-1.7073778054756323
ABCG8	-0.5911670848340286
ABHD1	-0.01103554516616767
ABHD10	0.7081566070006451
ABHD11	-0.022210075941679897
ABHD12	-0.4821732522889217
ABHD12B	-0.04497997451496197
ABHD13	-0.553673835734751
ABHD14A	-0.21745145136179556
ABHD14A-ACY1	0.41354256783703125
ABHD14B	0.0603441142036667
ABHD15	0.09343340850272908
ABHD15-AS1	0.0
ABHD16A	0.026140314256749786
ABHD16B	0.0
ABHD16B-AS1	-1.0622030008549692
ABHD17A	0.05989355399626728
ABHD17AP1	-0.016886712966898365
ABHD17AP3	0.013812009433525958
ABHD17AP4	0.0028388449112970032
ABHD17AP5	0.26923164282976136
ABHD17AP6	0.08503113880941843
ABHD17AP7	0.0
ABHD17AP8	0.0
ABHD17AP9	0.0
ABHD17B	-0.04845543937421315
ABHD17C	-0.7718428208873764
ABHD18	-0.11504964708230947
ABHD2	0.3282599015454757
ABHD3	0.7225590290341524
ABHD4	-0.4924098313286862
ABHD5	0.6351843872777585
ABHD6	-0.3547096713137954
ABHD8	0.37298951435643923
ABI1	0.18535288083177637
ABI1P1	-0.05972590007360077
ABI2	-0.22130351604370713
ABI3	-0.031279852558089745
ABI3BP	0.0005573621896368883
ABITRAM	0.44750330268403804
ABITRAMP1	0.0
ABL1	0.2585545828215534
ABL2	-0.6115235625972182
ABLIM1	-0.33252933100839766
ABLIM2	-0.1270725953796235
ABLIM3	1.3821031682524403
ABO	-0.009884117062926297
ABR	-1.5890062658900095
ABR-AS1	-0.004075619692959476
ABRA	0.0
ABRACL	-0.44179615742009126
ABRAXAS1	-0.18090308732396565
ABRAXAS1P1	0.0
ABRAXAS1P2	-0.021195812859944554
ABRAXAS2	0.21607538704030294
ABT1	-0.3655430812435334
ABT1P1	0.0
ABTB1	-0.17098285725489193
ABTB2	-1.0837860516549611
ABTB3	-1.2247191589752702
ACAA1	0.25475677435878996
