gene	value
ARHGEF10L	-0.33783099999999777
HIF3A	0.030184739130438842
RNF17	0.9335015434782606
RNF10	0.09521215217390555
RNF11	-0.7020711521739127
RNF13	-0.30902406521739323
GTF2IP1	0.8536787826086947
REM1	0.7494401956521717
MTVR2	0.19142982608695647
RTN4RL2	0.09183204347826024
C16orf13	0.22413358695652263
C16orf11	0.22891630434782612
FGFR1OP2	-0.528201630434781
TSKS	0.0036831956521741205
ATRX	-0.12286515217390459
PMM2	-0.11067708695652101
LOC100272146	1.0574707608695637
ASS1	-2.0615408913043325
NCBP1	-0.29621863043478136
ZNF709	0.3749532826086952
ZNF708	0.0033633260869558868
RBM14	0.3440346086956563
NCBP2	0.45731354347826425
DISC1	-0.15019615217391458
CAMK1	-0.02515839130434827
RPL37	0.6410297608695696
SPR	-0.044942739130430454
ZNF700	0.3352228695652233
ZNF707	0.97427613043478
CAMK4	-1.8044595434782615
ZNF704	-0.19840636956521873
LOC339240	-0.7655210652173907
GOLGA6B	-2.0619078043478254
RNF115	0.12415441304347397
RNF112	0.15468958695652102
ZC3H14	-0.45878310869565375
SPN	-0.7418403478260869
HMGCLL1	-2.7520814347826086
NACAP1	0.49679208695652477
LRRTM1	-1.5198026956521737
GRIN1	0.8046819130434781
RBMY1A3P	0.044867391304347824
DHX8	0.10048060869565134
DHX9	0.24714452173912882
LOC441204	-0.16209876086956454
TCOF1	1.1841767391304359
LRRTM3	0.004338021739130449
NUP98	-0.3910792173913027
XPC	-0.16863154347826104
SLC12A2	-0.4001693913043507
GRINA	0.2994678913043476
LRRTM2	-0.4029274347826095
NUP93	0.7293074130434789
HAP1	-0.1942338913043482
KLRA1	0.7870925217391287
CAMKV	0.7600149130434785
SPPL3	0.18159960869564884
GOLIM4	-1.3193313695652158
ZNF646	1.0420755652173943
OPA3	0.4171315652173977
OPA1	-0.35928889130434527
RHEB	0.5949204130434733
RAB40C	0.13354549999999676
RAB40B	0.31161076086957173
RAB40A	0.3129866739130438
COL7A1	2.76650256521739
MDP1	-0.25405180434782526
GTSE1	3.4410995652173866
FAM183A	0.6699968695652182
ARFRP1	0.8550001739130462
OVCH1	-0.10135986956521736
FAM183B	0.17178084782608694
PSAP	-0.09973291304348386
KIAA0831	0.3878563260869523
SPPL2A	-0.2163629130434721
SLC46A1	0.6635499130434805
TGFBR2	-0.6657702173913034
ITGA8	-0.1366341521739134
ITGA9	-2.6012736739130426
STK40	-0.8772697608695665
MYO3B	-0.15400919565217386
ATP2A1	1.2286667826086952
ATP2A2	0.16867541304346823
ATP2A3	-0.040311999999995685
ITGA1	-0.7614332826086958
ITGA2	1.4423209347826136
ITGA3	0.6331503043478204
ITGA4	-0.8403715217391312
ITGA5	0.5703463913043478
ITGA6	1.2164117391304377
ITGA7	1.1967859347826115
TRHR	0.026638586956521736
LOC100132288	0.4155236086956524
DENND4A	-1.1152961521739098
DENND4B	1.201012304347831
DENND4C	-0.5260471304347849
SWAP70	0.48042343478260996
RARRES1	0.4762855652173883
LOC100132287	0.5767958478260855
PHLDA3	0.8685646304347756
PHLDA2	0.5206816739130469
TACO1	-0.26040076086956354
PMM1	-0.05482341304347926
GAP43	1.2739309782608694
NENF	0.7056366739130446
SQLE	1.5133254565217342
MRPL28	0.34710630434783063
LOC100289341	0.3533068913043502
FBXL13	0.45513986956521757
FBXL12	0.18849178260869515
FBXL15	0.29094304347826316
CYP27B1	1.5158195869565212
FBXL17	-0.2664421304347879
FBXL16	0.9609883043478251
FAM169A	0.4317040434782653
FAM116B	1.0916769565217388
FAM116A	0.012585695652177264
FAM169B	-2.7860823478260865
RALGAPA2	-1.1065234130434742
GHDC	0.3085465000000003
H19	-1.5813557173913129
SDK2	-0.3639469130434776
GRP	0.5133441086956521
TPRN	0.45807845652173995
THSD4	-1.066646478260874
KIAA0895L	0.9933842826086927
CHST9	-1.8456825434782633
CHST8	-0.4420979565217391
COL4A5	0.11674949999999829
COL4A4	-1.1344526956521737
COL4A3	-0.7095345217391289
COL4A2	1.6216341739130442
COL4A1	1.7308696521739098
SLC35D2	-0.03054710869565369
CHST1	0.9513480869565205
ZNF879	-0.14015556521739025
CHST3	0.04797150000000272
CHST2	0.4251910652173949
CHST5	0.8582789782608699
CHST4	-5.58086113043478
CHST7	-1.2378377173913115
CHST6	1.2772700000000012
ITGAX	0.4208271956521754
OR8J1	-0.040436
SNORD115-17	0.0
BCL2A1	-1.0174586956521727
GPSM2	1.3640968695652163
HLCS	-0.44168321739130967
NOG	-0.21829869565217375
LIPG	-1.7416803478260885
ITGAV	0.32491139130435265
HIBCH	-1.1288357173913024
ZNF703	0.44412945652173974
ITGAL	-0.10666047826086711
ITGAM	-0.04412993478260585
LOC286359	0.18608152173913045
HLF	-1.8418452826086948
NOV	0.7849636956521717
FAM134C	0.22403917391303985
FAM134B	-4.124613108695653
FAM134A	0.4011625869565165
SERPING1	-1.5132242173912989
SMAD9	-1.1508916956521742
TRERF1	-0.04097858695652512
LOC653501	-0.4348963043478298
LRPAP1	0.23041619565217886
LQK1	1.7496416521739118
SMAD6	-1.151981978260868
SMAD7	-0.6140735869565237
GOLPH3L	0.9174083260869548
SMAD1	-0.8999342173912943
AFTPH	-0.22094865217391657
SMAD3	0.2803948260869529
MUS81	0.5935480869565293
AMMECR1L	0.033234695652174295
IL1RAPL1	0.26066389130434786
TMPRSS11B	-0.012800869565217393
IGF2R	-0.12287063043477531
TMPRSS11D	-0.10811065217391308
TMPRSS11F	0.014607000000000002
ZC3H10	0.5890516304347821
RAD21L1	0.021780434782608694
IL1RAPL2	-2.4091010434782607
SLC36A3	0.05105119565217392
CKS1B	1.216225086956527
SLC36A1	1.0053905217391312
ST13	-0.3560248043478129
RPL31P11	-0.27112599999999976
C14orf115	0.1150391304347826
ZC3H15	-0.11716691304347648
TMEM213	0.09417241304347826
C14orf118	-0.21960943478261363
ARTN	1.2642144347826099
ART1	0.089309
HRH3	0.5156736304347826
ART3	0.08604504347826025
HERC2P2	1.4419692826086905
ART5	-0.9032970869565224
ART4	-1.5167256304347818
RNF111	-0.28387878260870103
TCEA2	-0.22217641304347957
TCEA3	-0.43095017391303436
TCEA1	0.24648976086955976
MGC57346	0.4574652608695642
COX4I2	3.3376356086956545
COX4I1	0.1583219782608669
BFAR	0.1688046521739146
ZC3H18	0.048457913043479905
TMEM212	-0.10542917391304354
SNORD115-13	-0.06902317391304348
TCEB3B	0.3014139565217392
SIPA1	0.44896093478261
CRTAM	-0.49266030434782593
EDA	-0.32936660869565504
OR6P1	0.0
CCDC116	0.6276038260869561
CADPS2	-0.10743899999999762
CCDC114	0.8675422391304339
CCDC115	-0.061659456521736544
CCDC112	1.1712488260869591
CCDC113	-0.34769873913043803
CCDC110	-0.2958545652173905
CCDC111	0.0551092826086963
LEO1	0.1897667173913007
ATP1A4	0.35556680434782606
ATP1A3	0.010446739130432814
ATP1A2	0.6177779347826093
ATP1A1	0.49090530434783197
KGFLP2	-0.905669413043479
MGRN1	-0.2403696739130421
TCP1	0.17391971739130874
CRTAP	0.5173879130434766
CBLC	-0.6829526956521725
SPHK1	1.149450173913051
DPT	-3.923798217391303
BPESC1	0.46747697826086954
CUEDC1	0.9677556086956551
CUEDC2	0.2892994130434836
CBLB	0.1153404782608689
CPEB4	-1.2113338260869586
CPEB1	0.1531188478260871
ZNF45	0.04448693478260779
CPEB3	-2.751391913043478
CPEB2	-0.7170078260869577
BEGAIN	0.09041067391304436
RBMXL3	0.007541847826086956
OSGEP	0.03295941304346783
ABAT	-2.2586946304347855
LOC100129637	1.0635603913043417
ZNF780A	0.341990521739131
ZNF780B	0.20094899999999605
TLN2	-0.535367304347826
FRG1	0.0658354999999986
FRG2	-0.027685108695652168
RHEBL1	1.6295133478260877
ZNF41	-0.3338319999999966
IFT80	0.854082195652178
FBRS	0.45036767391304444
ZNF414	0.6866503260869585
IFT88	-0.532956108695652
IL10RA	-1.010481521739134
POU5F1B	0.6622008695652184
SP1	0.06253415217390668
SLC27A4	-0.2263836956521761
SP2	0.10615400000000008
OLA1	0.5390638260869594
PNOC	-0.5597636304347822
CNTF	0.19400858695652135
MCM10	3.1967302608695634
PDIA5	-0.8097550652173968
SP4	0.08090284782608759
TMEM38B	0.2339086086956499
THUMPD3	0.22092363043478613
IGFBPL1	0.5525598260869571
SP5	1.5229151521739164
ATG4C	-0.2020418478260897
ATG4B	0.4297343043478232
ATG4A	-0.23179993478261096
THUMPD2	0.5293907826086981
LOC441208	-0.10987954347826356
ATG4D	0.37808167391303904
PHOX2A	0.15063804347826087
PHOX2B	0.023577717391304348
SNORD114-31	0.0
SNORD114-30	0.0
LRGUK	0.7404766739130433
MPHOSPH8	-0.5269700869565224
UPK2	0.44942082608695616
CFH	-1.0534045217391306
CFI	-1.8351717391304359
PNP	-0.9905147608695604
ANKFY1	-0.5874075652173918
C1orf14	0.017279347826086956
CFB	-1.169412413043485
OR5P3	0.002734782608695652
OR5P2	0.0026391304347826087
MLLT4	-0.3721520652173904
SNORD115-6	0.0
CREBBP	-0.1726182826086955
PNN	0.07863313043478115
PHYHIPL	0.9369280434782565
ATP6V0E1	0.3366230652173883
ATP6V0E2	-0.1345995869565222
RNF128	-0.7381653478260848
CFP	-4.153701695652172
AAAS	0.4551065434782551
HAMP	-7.493356586956522
ZNF394	0.013665891304345479
SIDT1	-0.16652295652173965
SERPINA10	-1.7356097826086927
SIDT2	-0.2655612608695659
SNORD115-7	0.03989184782608695
TAF8	-0.01555021739131135
PISRT1	0.0
SIX4	2.649895739130435
LOC283070	-0.36311413043478247
SIX6	0.01345108695652174
PM20D1	-0.9668897173913045
MR1	-0.025615369565217705
MGC4473	0.13709782608695648
SIX3	0.3562575
SNORD115-4	0.0
WASH3P	1.1420070217391327
CNPY4	0.4849192608695567
CNPY3	-0.0424555869565193
CNPY2	0.5293050869565228
CNPY1	0.09434100000000001
NODAL	1.0699286521739138
SYNJ1	-0.2280089130434808
KNDC1	-1.75487002173913
HMG20A	-0.15835334782608435
HMG20B	0.31860547826086716
PHOSPHO2	0.5069495652173943
AAGAB	0.43666458695651755
C4orf19	-1.1102711304347732
C3orf79	0.01400271739130435
SLC7A6OS	0.09919771739130834
C3orf77	0.17157293478260865
C3orf75	0.12284676086956736
C3orf74	0.07212406521739127
C4orf10	0.635152847826089
C3orf72	0.33079897826086946
C3orf71	1.11648941304348
C3orf70	0.5773388043478258
ZNF285	0.5870458478260847
MRO	-3.1326502826086973
ZFP82	0.470719130434782
CHFR	0.2573614782608704
EFHA1	-0.2566427173913084
RTBDN	1.6249623260869563
EFHA2	-1.5761725217391254
AAA1	1.2758360869565215
GPR75	-0.8047732391304354
NUDT9P1	-0.6349482173913039
SYPL2	-1.311405282608697
RFX8	1.8498342173913045
ZNF222	0.24024163043478453
RFX4	0.2616412173913044
OR2C3	0.08587234782608702
AVPR2	1.283999086956521
RFX7	0.29587573913043563
NRXN3	0.5181773478260849
GPR77	-0.23401284782608744
NRXN1	-1.867523782608696
RFX3	0.28231834782608667
SNORD104	0.0
RFPL2	-0.21096691304347726
VPS37D	0.6533142826086928
NLRP13	0.0030571739130434775
APC	-0.2288411956521781
TMEM179B	0.1369210869565265
ABCE1	-0.4294338913043507
UQCRC2	-0.6775573043478236
XPNPEP1	0.22146113043478444
XPNPEP2	-1.38042465217391
TIGD4	0.4500376956521732
ZNHIT3	0.5205603913043451
GGCX	-0.6594249565217467
PAPLN	0.7253034782608703
ADNP	0.11140604347826155
TMEM218	0.2069427173913052
STXBP6	1.7878807608695624
KHDRBS1	0.13666256521739228
RUNDC2C	-1.0463276304347828
KHDRBS3	0.18914567391303994
GGCT	0.5532590434782527
VPS37C	0.6140508695652169
STAC2	0.48158180434782555
LOC283404	0.1356820652173913
ZNF395	-0.595583695652179
STAC3	0.1517085000000007
TBL1Y	-0.25645245652173954
LHCGR	0.05675054347826087
TMEM211	-0.1629013043478261
OR1Q1	0.07600652173913043
TMEM127	-0.06024369565217924
GPR78	0.02167010869565217
TRPA1	0.07787773913043528
VPS37B	-0.318391391304349
TTC7A	0.29133165217391266
UQCRHL	0.6853722608695652
ZBED4	0.4980012826086959
C11orf2	0.09931036956521844
C11orf1	-0.8375847608695652
DPYSL5	0.44544482608695657
DPYSL2	-0.42693476086956217
DPYSL3	0.1236296086956532
OSTM1	-0.04870319565216796
RUNX2	-0.5297056086956502
C11orf9	0.9164357173913071
KRTAP10-12	0.003264130434782609
KRTAP10-11	0.0
KRTAP10-10	0.015757065217391307
IGFBP2	-0.6770466086956493
IGFBP3	-2.36338165217391
IGFBP1	-2.2600060434782616
BOP1	1.319923847826086
IGFBP7	-0.08891776086956327
IGFBP4	-1.2194787826086717
IGFBP5	-0.5638346739130444
SKP2	0.281845369565219
TTC4	0.10579419565217307
CYP2R1	0.8143746086956565
CKLF	0.975317043478265
ZNF193	1.008612782608699
C15orf26	0.11494176086956487
C15orf27	1.9177638695652184
C15orf24	0.1990008695652179
GJA3	0.548099739130434
APLNR	-0.9827471739130456
C15orf23	1.1766888043478207
C15orf21	0.6127486739130452
GJA8	0.06915108695652175
CYP8B1	-3.964760999999994
C15orf28	0.6293211956521741
C15orf29	-0.06318619565217354
STMN1	2.1547541956521776
S1PR2	0.002308521739129432
KDM3B	0.3524948260869536
REG1P	0.1771951086956522
STK17A	0.1830492826086889
KDM3A	0.27579206521739863
LOC401387	0.3042867391304347
S1PR1	-0.7449085434782621
ZNF642	0.36480152173913094
TMC4	-0.7039935217391271
MYO3A	-1.196332608695652
TMC6	0.3244096521739106
KIAA1958	-0.5078025217391318
APIP	0.5604245652173834
TMC1	0.2032241956521739
GPR15	-0.5226067391304348
TMC3	0.007977695652173433
PKLR	-0.8328856304347791
TECRL	0.5258712608695651
EIF2B4	0.4378034565217419
EIF2B5	0.2515732173913019
EIF2B2	0.32094230434782745
EIF2B3	-0.08554295652173494
EIF2B1	0.4667846956521693
PRKAR2A	-0.7065710434782604
CSNK2A1P	-0.0429282391304362
XRRA1	0.48265765217391454
C20orf56	-1.7404220434782651
C20orf54	0.5238446086956521
TXNIP	-0.8737132826086835
SLC36A4	-0.3119126956521763
LOC389791	1.8736054782608684
ZNF876P	0.35980976086956495
MLF1	-1.4149759782608706
QPRT	-0.4296468043478239
IFT140	0.5699846956521757
MLF2	-0.4371468913043426
TMEM14C	0.4168923043478294
FAM157A	0.909734565217391
FAM157B	0.026677739130434808
FANCF	0.576221804347826
MECOM	1.2735648260869539
ITGA2B	-0.5332478478260883
RSPH1	-0.07945178260869445
IFI16	-0.5585983695652246
SOX6	-2.1624167391304354
LOC440944	1.3193214999999991
TTC1	0.38260315217390684
C9orf128	0.5450604782608691
C9orf129	-0.8751474130434778
MYT1L	0.1449696304347825
C9orf125	-0.047987021739131386
C9orf122	-0.9745573260869569
CEPT1	-0.5218393043478304
KIAA1267	0.32192623913044116
RTCD1	0.2135055434782558
CFHR2	-1.5630136304347797
CFHR3	-3.184104043478259
CLIC4	-0.46653567391304485
CLIC5	0.47593947826086946
CLIC2	-0.7823501739130432
CLIC3	0.4426808260869568
CFHR4	-2.855095239130433
CFHR5	-1.998675543478262
KRTAP2-2	0.0
KRTAP2-1	0.04097880434782609
CXorf1	-0.07545167391304346
KIAA0020	0.1781150434782628
KRTAP2-4	0.0
TMEM147	0.9274731956521762
ASGR1	-1.0835138043478363
ASGR2	-1.081998608695649
PCDHA1	1.923529543478261
FOXL2	0.20354423913043462
RIT1	0.6096705869565255
TMEM141	0.1286464130434819
FOXL1	1.3317649347826106
SF1	-0.1385773260869545
PCDHA6	-0.47419939130434896
PKIB	0.05247236956521473
TMEM149	-0.6150429130434834
API5	-0.34642576086955934
KRTCAP3	-2.4628933478260855
NUMBL	0.39674789130434895
RTKN2	2.6551442826086955
RNF180	-1.6554097391304374
P2RX7	-0.812335869565211
SECISBP2L	-0.7273821956521775
SBF1P1	0.3642360217391305
LOC100128811	-0.023230304347826088
HAS2	-2.3131494347826074
KIAA1199	2.135098478260868
HLA-DPA1	-0.6164577391304356
ZSWIM3	0.44209680434782594
FAM32A	-0.015774956521735106
KIAA1191	-0.23646452173912635
FER1L6	1.5884595217391306
ALOX12P2	-0.4891343695652157
FER1L4	2.069193195652176
FER1L5	0.8420238043478262
CA5B	0.6241904347826059
ZNF559	0.11075684782609674
VWA1	0.011576413043483669
C19orf22	0.12243208695652719
C19orf23	-0.05732143478260898
C19orf20	0.3737050652173881
C19orf21	0.3458710000000025
C19orf26	0.08929715217391188
ZMAT4	-0.29366269565217396
C19orf24	0.2757201739130455
C19orf25	0.9852554782608713
MYBL1	0.9813882826086937
NR1D1	-0.5660728260869607
C19orf28	0.39954663043478433
C19orf29	0.5579573913043454
ITGB1BP1	1.064278586956524
ITGB1BP3	-0.23603184782608694
ITGB1BP2	1.6754727826086948
ZNF7	0.8509831086956527
ZNF2	0.5210343260869559
ZNF3	0.4424328260869501
CTCFL	-0.0065310869565218255
PHLDA1	-2.7867261739130456
RPL31	0.3180303043478272
ZNF8	0.6815597391304324
PCP4L1	-0.8034945652173899
C11orf17	0.93182139130435
C11orf16	0.19089134782608705
ZAP70	-0.09828897826087335
SNORD115-9	0.0
C11orf10	0.6148974130434777
ZCCHC13	0.0023755434782608696
UFSP2	-0.45698923913043643
OGFR	0.07256847826086776
EPM2AIP1	-0.2977294565217399
CDC5L	0.16317295652174124
RAC2	-0.47940665217391576
RAC3	0.9672071521739136
RAC1	0.26776754347825715
SBDS	-0.3048728478260845
RCL1	-1.9012647391304291
SBK2	-0.020247391304347828
MRPS18A	0.3578466521739152
CPLX2	4.438839913043478
CPLX3	0.5608318043478259
ORC3L	0.22380145652173766
CPLX1	0.6347474782608691
AP2A1	0.22866108695651732
CPLX4	-0.3375268260869566
AP2A2	-0.09369082608695223
LOC389333	-0.37575284782608476
LILRB3	-0.5623290869565167
CADPS	-0.3160041521739132
FIGNL1	1.0448415217391362
KDM4DL	0.06649539130434781
PBX3	-0.2724378478260867
PBX1	-1.121670195652169
AIRE	0.4378593043478263
TMOD2	0.22974947826086378
MFSD11	0.17799702173912735
NSUN2	-0.1297408913043565
NSUN5	1.0416233260869596
NSUN4	-0.09399889130435035
NSUN7	-0.90407445652174
NSUN6	-1.1763215217391298
PRAMEF4	0.807024065217391
PRAMEF5	0.5505002391304348
PRAMEF6	0.7848707608695654
TUBG2	1.0419553043478293
FAM71F1	0.18116423913043464
PRAMEF1	0.12137328260869562
PRAMEF2	-0.12171373913043482
FAM71F2	0.9477682608695663
PTCH2	-0.35331204347826217
OR7G1	0.0
PCDHGA2	-0.6260531086956522
PRAMEF9	0.606929673913043
PRDM9	0.7616422608695651
SGK269	0.21642663043478017
FAM108B1	-0.45720602173913605
TBC1D1	-0.21197036956521487
ZXDA	-0.6029861739130435
PAMR1	-2.8305598913043477
RAD9A	1.165323630434786
ERGIC2	-0.049486456521737665
ERGIC3	0.33747989130434775
CDR2L	-0.06756286956521595
ERGIC1	-0.5674028478260844
CLEC14A	0.4070033043478283
PDF	-0.34417191304348016
B3GAT3	0.6573790434782634
B3GAT2	-0.2042415869565226
B3GAT1	-3.032067391304346
FAM66E	0.017112195652173867
FAM66C	-0.07910723913043505
PER1	-0.8779362391304311
CPPED1	0.12828113043478417
OR10A2	0.012441847826086956
UXT	0.2522330869565206
CALM2	0.06292917391303376
CALM3	0.22682752173912846
SPG21	-0.0006413695652156548
CALM1	-0.4608504782608751
GSDMA	-0.05032019565217505
GSDMB	1.0776025652173882
GSDMC	1.670715195652174
GSDMD	0.6312911739130449
HRH4	-0.13550434782608756
UPK1B	-1.1791373260869564
DLGAP2	-2.7175540434782626
DLGAP3	0.18239832608695483
DLGAP1	0.19569141304347792
DLGAP4	0.6392274347826135
DLGAP5	3.933034826086959
BRDT	0.4572730217391305
HRH2	-0.3029616521739129
MBNL2	-1.6879744999999993
MBNL3	-0.7678536956521747
PLK3	-1.5129002826086966
A1BG	-2.120000695652175
TTC8	-0.3559926739130441
PLK2	-1.0203822826086952
ZNF720	0.23384019565217073
OIP5	2.939884282608693
CLCN3	-0.4262434347826076
CLCN2	1.1043733260869537
CLCN1	1.1007096739130429
HRH1	0.3924757608695639
CLCN7	0.939254304347827
CLCN6	0.11390654347826157
CLCN5	-0.8167213695652187
CLCN4	-0.039396717391301905
FBXL19	1.2436431739130391
BRD8	0.7640042608695712
BRD9	0.7792103478260852
PCDHGA1	0.8423239782608678
FBXL18	2.3556898260869614
BRD4	-0.18794982608695676
BRD7	0.15005980434782984
BRD1	-0.2080084130434745
BRD2	-0.0232444782608745
BRD3	0.19080686956521298
DNAJA2	-0.4425347608695631
DNAJA3	-0.37135506521738293
DNAJA1	-0.5812331739130414
TGFBR3	-1.570771999999998
DNAJA4	0.07848702173913313
GLG1	0.1914139782608668
LOC643387	0.31735073913043266
PTPN12	0.06473563043478059
PTPN11	-0.332766239130434
LOC84931	1.010752152173913
LOC100192379	0.2523076086956521
LOC100192378	-0.48612813043478287
MYCBP	0.3304990652173885
PTPN14	0.5584813478260839
GALR3	0.4561742173913039
GALR2	0.8254806521739128
GALR1	0.20495547826086952
SETD1B	0.19645706521739115
LYAR	0.30291580434782617
PCDH20	-1.1773580217391308
C8orf30A	0.9475072391304309
CH25H	-1.1501650652173918
C16orf74	0.9020044782608725
C16orf75	2.13106502173913
MRPL27	0.3520274999999984
CSF2RA	0.17984236956522004
DMD	-1.6643422173913027
C16orf71	0.41978065217391247
C16orf72	-0.5303441086956493
C16orf73	-0.4076075000000001
GAB4	0.27896739130434783
LRFN4	0.4646180217391276
C16orf78	0.0059065217391304345
C16orf79	1.6978735434782606
GAB1	-0.24181556521738834
C2orf81	0.6840085000000018
C2orf80	-0.002904478260869578
C2orf83	0.03784976086956523
C2orf82	1.4396368695652173
C2orf85	-0.27219310869565216
C2orf84	-0.6426243478260873
HABP2	-1.8600255434782635
C2orf86	0.0881899782608695
C2orf89	0.8348041086956499
C2orf88	-1.2005599130434774
FLJ46361	0.010816847826086957
NDRG3	1.093290434782606
NDRG4	-0.22886726086956166
TBC1D9	-0.3545394130434776
ZSCAN2	1.1221384130434808
PRAP1	-0.6780415652173897
CHD1L	0.5929998913043537
HOXA6	0.5982589130434782
HOXA5	0.1258642826086951
SNORD38A	0.0
DNAJB13	1.182970369565217
DNAJB12	0.017535086956517176
DNAJB11	0.8606131086956488
HOXA4	-0.23465667391304557
HLA-DQB1	-0.18562195652173585
MSMB	0.6409448478260874
UPF0639	0.36711352173913037
DNAJB14	-0.4729765434782598
RNF138	-0.6415087173913054
HOXA3	1.63986245652174
ENOSF1	-0.2871728260869535
HOXA2	0.27383158695652177
CISD2	-0.17024023913043962
CISD3	-0.06106195652174051
CISD1	0.11840467391304266
CLNS1A	0.08762184782608706
HOXA1	-0.3231828478260863
FLJ44635	-0.39136167391304433
R3HDML	0.23818063043478266
TSHZ2	-1.0492610000000004
TSHZ3	-0.682222717391304
EIF4E1B	0.03859428260869565
MRC2	-0.9433786304347818
FOXS1	3.1133982173913033
PABPC1P2	0.19332117391304351
ZNF581	1.3033608043478253
IGLL1	0.21736384782608686
MCOLN1	0.35463736956521075
ZNF582	-0.3491994782608705
TIPARP	-1.064199086956524
ZNF584	-0.30933869565217
ZNF587	0.390376217391303
HAPLN4	-1.255679999999999
ZNF589	0.9627897173913063
U2AF2	0.4761699347826056
THSD1	-0.05212352173913448
SGK494	0.8847976739130425
TMEM115	0.4665090000000056
ZFP161	-0.06946936956521377
RELA	-0.00817623913043164
?|26823	0.22623084782608696
LPAR6	-0.10860010869565606
LSM12	0.2273256086956561
PSD	-0.1040540652173938
UXS1	1.020550695652176
CAMKK2	0.1098243260869598
CAMKK1	0.22530186956521536
P2RX2	0.535707413043478
HOXA9	0.8419635217391311
LOC84856	1.0260615652173906
OR8U1	0.0
LPAR5	-0.8244647173913053
ZP3	1.2408788043478287
LOC441046	-0.8480775000000007
ZP2	0.001771956521739143
TMEM123	-0.6782343913043487
MTRF1L	-0.42958456521739485
MYO1H	0.729489065217391
MYO1G	-0.2407642826086942
MYO1F	-0.9433455000000004
MYO1E	-0.8708735434782646
MYO1D	-0.10337032608696184
MYO1C	0.16257534782608474
MYO1B	-1.447913565217391
MYO1A	2.1524941739130443
GRN	0.6761748478260845
LCN6	0.018874717391304252
LOC100128640	-0.11833863043478487
RPL36AL	-0.11036380434782522
RAET1G	0.3465840869565229
KIAA0391	-0.3282888043478245
CHMP7	-0.32303269565218073
CHMP6	0.39353939130434235
BCR	0.37986265217391413
OR52N4	-0.38474684782608704
OR52N5	0.09019945652173914
OR52N2	0.08434321739130429
CTPS2	0.2549081521739094
NDC80	3.865821826086955
OR52N1	0.12268043478260868
SULT6B1	0.062044565217391295
LY6G6C	-0.22343678260869548
HOXA13	4.13223197826087
LY6G6E	0.006770108695652165
HOXA11	1.3345886086956524
HOXA10	3.3483776956521742
KRTAP19-2	0.0
KRTAP19-3	0.0912288043478261
PPIAL4C	0.6546302173913014
KRTAP19-1	0.0805608695652174
KRTAP19-6	0.0
KRTAP19-7	0.0
KRTAP19-4	0.015373913043478262
FAM188A	-0.828364521739136
FAM160B1	-0.4316459999999953
KRTAP19-8	0.01001141304347826
FAM160B2	0.23531519565217174
RAD54B	1.6340459782608736
GALNTL5	0.011634782608695653
GALNTL4	0.612753739130433
TSSK4	0.3305028260869569
GALNTL6	-0.18538784782608708
GALNTL1	-1.4533370217391326
LSM11	0.9857992608695643
ZNF323	0.5760827826086956
GALNTL2	-0.3024473695652219
SNORD114-3	0.0
SF3B1	0.03956847826087362
TUSC2	0.4891670869565221
SRI	0.1266922173913052
SUN1	0.45181291304348115
SRL	-0.4447146304347829
SRM	0.747254608695652
SRR	-0.2647351739130457
LGALS9	0.16432417391303922
LGALS8	0.07557458695652386
LGALS3	0.7135811739130435
LGALS2	-0.30655995652174006
LGALS1	0.6452894565217395
SRY	0.04576163043478261
LGALS7	0.28893600000000014
LGALS4	0.026095717391303452
NMU	0.3053481086956521
RNF114	-0.0706017608695575
AKIRIN2	-0.3187442391304387
AKIRIN1	-0.9056673260869523
EIF2AK1	0.12123849999999692
ERCC6L	2.766879521739129
EIF2AK3	-0.5167199782608751
EIF2AK2	-0.12580973913043714
TDG	0.1597112608695639
EIF2AK4	-0.4552134782608661
HN1	1.1253144130434816
SMS	0.2672026521739017
NMB	1.9156085434782577
EREG	-1.340687695652174
LOC729467	0.12652521739130432
AVPI1	-1.1652721086956515
MYO16	-1.8719285217391315
FAM136B	0.1706305
TRNT1	0.14801258695652475
ASAP1	0.5707028260869542
ASAP2	0.585260956521739
ASAP3	0.6114060869565243
OCRL	0.7960031086956505
?|441362	0.0
VSIG10L	1.1195666521739076
PLAUR	-0.9979570434782614
XIST	-1.4605164782608684
KRT28	0.12632065217391303
TBX2	0.9379412826086986
LOR	-0.0094698043478261
LRRC26	1.0063666521739134
KIAA1524	2.1512818695652163
LRRC24	0.3857262608695655
KIAA1522	1.5329266086956537
MPDU1	-0.5913443260869578
KIAA1033	-0.39194047826087086
LOX	1.1909753260869556
