gene	value
ARHGEF10L	-0.2427402994652379
HIF3A	-0.6808221604278106
RNF17	0.7661856256684493
RNF10	0.15155721925133925
RNF11	-0.5171694545454564
RNF13	-0.3699158288770086
GTF2IP1	0.8009796149732669
REM1	0.1715715080213891
MTVR2	0.09002915508021395
RTN4RL2	0.40284032085561616
C16orf13	-0.10781557219251248
C16orf11	0.1646358288770053
FGFR1OP2	-0.3445088770053477
TSKS	-0.5427881925133693
ATRX	0.0529502673796749
PMM2	0.028353561497324264
LOC100272146	1.0752115080213902
ASS1	-2.3288959786096246
NCBP1	-0.15171257754010448
ZNF709	0.08031856684492045
ZNF708	-0.14689242780748568
RBM14	0.24029296256684596
NCBP2	0.41050954010695406
DISC1	0.1349647914438501
CAMK1	-0.1696230802139027
RPL37	0.2661945240641792
SPR	-0.17638564705881699
ZNF700	0.2547768770053489
ZNF707	1.012797197860964
CAMK4	-1.7687742887700546
ZNF704	0.21179001069518755
LOC339240	-0.9743825668449199
GOLGA6B	-1.989855636363636
RNF115	0.2836893903743256
RNF112	-0.3677899037433163
ZC3H14	-0.24492340106951893
SPN	-0.8029432941176475
HMGCLL1	-2.8305216042780748
NACAP1	0.043082652406416955
LRRTM1	-1.0039843422459893
GRIN1	0.7378818395721924
RBMY1A3P	0.013180748663101604
DHX8	0.3087629946524064
DHX9	0.38387991443850566
LOC441204	-0.18633781818181738
TCOF1	1.0130686631016097
LRRTM3	-0.17721841711229946
NUP98	-0.12991142245989096
XPC	-0.2884534759358264
SLC12A2	-0.5177935828876983
GRINA	0.4509360855614961
LRRTM2	-0.5689892192513368
NUP93	0.6862237219251313
HAP1	-0.2585796363636361
KLRA1	0.4866545668449205
CAMKV	0.6405485133689838
SPPL3	0.029990459893047827
GOLIM4	-0.8272642139037334
ZNF646	0.7711040213903768
OPA3	0.22734652406416522
OPA1	-0.19992598930481087
RHEB	0.6559081069518715
RAB40C	0.07971298395721682
RAB40B	0.06567972192513771
RAB40A	0.33687437433155076
COL7A1	2.9543950160427777
MDP1	-0.7141923636363599
GTSE1	3.0955832727272727
FAM183A	0.5410611978609627
ARFRP1	0.45058864171123325
OVCH1	0.04954566844919786
FAM183B	-0.001293048128342189
PSAP	-0.14648509090907957
KIAA0831	0.42195944385026607
SPPL2A	-0.028576855614968366
SLC46A1	0.5758613689839596
TGFBR2	-0.30716370053476005
ITGA8	-0.11453878074866397
ITGA9	-2.5181187379679146
STK40	-0.7109445989304799
MYO3B	-0.840753240641712
ATP2A1	1.2242853903743334
ATP2A2	0.5659056042780719
ATP2A3	-0.499158395721925
ITGA1	-0.5080156791443855
ITGA2	1.6647536256684452
ITGA3	0.09375824598930738
ITGA4	-0.6423844278074862
ITGA5	0.44697563636363036
ITGA6	1.5044800427807505
ITGA7	1.0765706951871632
TRHR	0.005421582887700539
LOC100132288	0.3282129411764636
DENND4A	-0.5233681069518674
DENND4B	1.047425497326202
DENND4C	-0.31069884491979316
SWAP70	0.5780628663101641
RARRES1	0.4216164919786092
LOC100132287	0.5517251336898408
PHLDA3	0.36970564705882136
PHLDA2	1.1659869304812842
TACO1	-0.2685245989304761
PMM1	-0.4882100748663092
GAP43	0.9428117219251324
NENF	0.48013621390374617
SQLE	2.1658098181818115
MRPL28	0.0008317005347642237
LOC100289341	0.13466829946524062
FBXL13	0.30100389304812825
FBXL12	0.026454010695184493
FBXL15	-0.04465709090909442
CYP27B1	1.4637468449197852
FBXL17	-0.15926374331550974
FBXL16	0.7811187807486619
FAM169A	0.3607315721925124
FAM116B	0.6394142459893049
FAM116A	-0.02843285561497666
FAM169B	-2.5428333903743305
RALGAPA2	-0.5128445133689841
GHDC	0.0245669946524103
H19	-2.758990973262037
SDK2	-0.8181139251336904
GRP	0.5611376684491978
TPRN	0.5679203636363663
THSD4	-0.8846600427807472
KIAA0895L	0.8235850267379679
CHST9	-2.431274673796791
CHST8	-0.7326934331550803
COL4A5	0.24475433155080495
COL4A4	-1.1619516791443862
COL4A3	-0.6953994438502678
COL4A2	1.334786395721924
COL4A1	1.6330550802139019
SLC35D2	-0.028559614973266534
CHST1	0.5169454973262049
ZNF879	-0.33592453475935624
CHST3	-0.3513964919786092
CHST2	0.1613757219251326
CHST5	0.4684459465240647
CHST4	-5.533056983957218
CHST7	-1.7644372192513371
CHST6	1.0873126203208558
ITGAX	0.5393582032085495
OR8J1	0.0
SNORD115-17	0.0
BCL2A1	-0.7895558074866287
GPSM2	1.5724660320855595
HLCS	-0.23792117647059108
NOG	-0.875023486631016
LIPG	-1.5098961711229926
ITGAV	0.5884357433155127
HIBCH	-0.887787422459887
ZNF703	0.5634253048128368
ITGAL	-0.33877967914438045
ITGAM	-0.031000021390371835
LOC286359	0.1935711229946524
HLF	-1.25190688770053
NOV	0.6603151657753994
FAM134C	0.03628233155080274
FAM134B	-3.4430933903743295
FAM134A	0.27553031016042695
SERPING1	-1.4680012620320877
SMAD9	-1.1011024385026755
TRERF1	-0.592707871657753
LOC653501	-0.2841962352941181
LRPAP1	0.04579099465240333
LQK1	1.4293669732620318
SMAD6	-1.5060934973262068
SMAD7	-0.7635374331550846
GOLPH3L	0.8944798930481266
SMAD1	-0.5664235721925159
AFTPH	-0.08097606417112502
SMAD3	0.4009715721925122
MUS81	0.5763524491978593
AMMECR1L	0.2121525133689861
IL1RAPL1	0.35088891978609626
TMPRSS11B	0.040873796791443845
IGF2R	0.01257734759358442
TMPRSS11D	0.03024109090909094
TMPRSS11F	0.02808288770053476
ZC3H10	0.44632708021390055
RAD21L1	0.04553582887700535
IL1RAPL2	-2.0054197860962573
SLC36A3	0.05888066310160429
CKS1B	1.1143536898395663
SLC36A1	1.0577985026737986
ST13	-0.4475781390374358
RPL31P11	-0.3766895614973249
C14orf115	0.11137219251336902
ZC3H15	0.14393619251336176
TMEM213	0.18863781818181824
C14orf118	0.11929557219251041
ARTN	1.2059397219251333
ART1	0.08328083422459895
HRH3	0.07195319786096266
ART3	-0.41049274866310215
HERC2P2	1.2218776898395731
ART5	-1.5232079358288766
ART4	-1.8013506737967937
RNF111	-0.07178282352941245
TCEA2	-0.5103019679144385
TCEA3	-0.5982079144384986
TCEA1	0.2474905668449221
MGC57346	0.32279952941176493
COX4I2	2.8772434652406416
COX4I1	-0.2058445561497262
BFAR	0.08681920855615388
ZC3H18	0.18409257754010433
TMEM212	0.03549022459893046
SNORD115-13	-0.04256778609625668
TCEB3B	0.03817822459893033
SIPA1	0.07419221390374275
CRTAM	-0.9198541604278092
EDA	-0.45832844919786364
OR6P1	0.0
CCDC116	0.35422802139037457
CADPS2	0.2169162139037475
CCDC114	0.8927291550802121
CCDC115	-0.22929878074865329
CCDC112	0.8498433582887737
CCDC113	-0.049822866310161196
CCDC110	0.805509925133689
CCDC111	-0.0945876577540119
LEO1	0.3073028235294153
ATP1A4	0.21896650267379675
ATP1A3	-0.11534613903743374
ATP1A2	0.514079679144384
ATP1A1	0.4637399358288725
KGFLP2	-0.8327550802139028
MGRN1	-0.24566459893047998
TCP1	0.22139279144384538
CRTAP	0.38112068449198055
CBLC	-0.6512844705882301
SPHK1	0.5972507807486611
DPT	-4.307319529411767
BPESC1	0.5335192513368984
CUEDC1	0.9319311657754019
CUEDC2	0.008490288770055088
CBLB	0.21190840641711706
CPEB4	-0.8227652192513357
CPEB1	-0.35375557219251286
ZNF45	0.14723170053475965
CPEB3	-2.630546374331554
CPEB2	-0.7749317219251317
BEGAIN	-0.4522414545454545
RBMXL3	0.010652941176470589
OSGEP	0.0024939037433160394
ABAT	-1.9956276363636452
LOC100129637	0.7724357860962581
ZNF780A	0.09742280213903776
ZNF780B	0.0552517219251385
TLN2	-0.0884519786096245
FRG1	-0.08622573262031707
FRG2	0.10291978609625668
RHEBL1	1.1066617326203225
ZNF41	-0.1889288128342228
IFT80	0.8846404705882351
FBRS	0.29692498395722033
ZNF414	0.3290095187165747
IFT88	-0.3797792941176521
IL10RA	-0.8882847914438461
POU5F1B	0.3848214545454538
SP1	0.06485837433154451
SLC27A4	-0.21481585026737982
SP2	0.09756755080214141
OLA1	0.5567817326203244
PNOC	-1.1597110588235295
CNTF	0.40795516577540036
MCM10	3.3467354652406414
PDIA5	-0.8600132620320835
SP4	0.08442183957219651
TMEM38B	0.4528347593582893
THUMPD3	0.3010456470588281
IGFBPL1	0.5296761711229949
SP5	1.1472993368983975
ATG4C	-0.09103416042780843
ATG4B	0.3693095401069524
ATG4A	-0.06298744385026644
THUMPD2	0.533078203208559
LOC441208	0.2913208983957194
ATG4D	0.15352436363636635
PHOX2A	0.09928021390374332
PHOX2B	0.04887165775401069
SNORD114-31	0.0
SNORD114-30	0.0
LRGUK	0.8648701818181832
MPHOSPH8	-0.2769201925133604
UPK2	0.6447610053475937
CFH	-0.621931828876999
CFI	-1.4453421176470496
PNP	-1.009327871657753
ANKFY1	-0.5077272727272693
C1orf14	0.04820481283422459
CFB	-0.9831636577540053
OR5P3	0.009710695187165776
OR5P2	-0.039544
MLLT4	-0.21981214973261842
SNORD115-6	0.0
CREBBP	-0.16332515508020684
PNN	0.22684605347593667
PHYHIPL	0.8870625454545422
ATP6V0E1	0.18976145454545268
ATP6V0E2	0.03174981818181877
