gene	value
ARHGEF10L	11.463891999999998
HIF3A	4.467462
RNF17	0.11147400000000002
RNF10	11.680497999999995
RNF11	11.103156000000002
RNF13	10.716136
GTF2IP1	11.553116
REM1	3.0746499999999997
MTVR2	0.09183599999999999
RTN4RL2	7.735067999999999
C16orf13	9.602227999999998
C16orf11	0.0
FGFR1OP2	8.776590000000004
TSKS	1.4963520000000006
ATRX	9.501966
PMM2	10.192404000000005
LOC100272146	3.3773619999999998
ASS1	16.013469999999998
NCBP1	9.550744000000002
ZNF709	4.463393999999999
ZNF708	5.754951999999999
RBM14	9.578408
NCBP2	9.703790000000001
DISC1	5.906409999999999
CAMK1	9.678042
RPL37	13.463294000000001
SPR	11.109832000000004
ZNF700	7.614070000000002
ZNF707	6.68632
CAMK4	3.8376500000000004
ZNF704	5.743986000000001
LOC339240	1.800042
GOLGA6B	4.850048
RNF115	8.455931999999997
RNF112	3.4648000000000003
ZC3H14	10.277667999999997
SPN	6.874171999999999
HMGCLL1	3.9918480000000005
NACAP1	6.972848000000003
LRRTM1	2.4312500000000004
GRIN1	0.2581
RBMY1A3P	0.0
DHX8	9.426806000000001
DHX9	11.003150000000003
LOC441204	2.588782
TCOF1	8.8616
LRRTM3	0.328084
NUP98	10.964546
XPC	10.400227999999997
SLC12A2	8.942226
GRINA	13.092654
LRRTM2	2.2826020000000007
NUP93	8.165438
HAP1	2.3671099999999994
KLRA1	2.394236
CAMKV	0.051764000000000004
SPPL3	9.768519999999999
GOLIM4	10.419296
ZNF646	7.303423999999999
OPA3	9.053394
OPA1	10.691231999999998
RHEB	9.762224000000002
RAB40C	8.863923999999995
RAB40B	8.541148
RAB40A	1.045622
COL7A1	3.3509140000000013
MDP1	7.625852000000002
GTSE1	3.1196320000000015
FAM183A	0.23077600000000004
ARFRP1	9.429852
OVCH1	0.2663019999999999
FAM183B	0.717068
PSAP	15.198079999999994
KIAA0831	8.086467999999998
SPPL2A	10.558860000000003
SLC46A1	10.316538000000003
TGFBR2	11.411928000000003
ITGA8	2.2047860000000004
ITGA9	8.092787999999999
STK40	11.076112000000002
MYO3B	2.1657879999999996
ATP2A1	1.8965520000000005
ATP2A2	12.144315999999998
ATP2A3	8.019086
ITGA1	11.054086000000002
ITGA2	5.387914
ITGA3	7.5645999999999995
ITGA4	7.2376819999999995
ITGA5	11.041941999999999
ITGA6	9.210047999999999
ITGA7	7.328636000000001
TRHR	0.016086
LOC100132288	7.111361999999999
DENND4A	9.645708000000006
DENND4B	8.751720000000002
DENND4C	9.60307
SWAP70	8.810622000000002
RARRES1	6.314375999999999
LOC100132287	6.925898
PHLDA3	7.489062000000001
PHLDA2	5.796809999999998
TACO1	10.716479999999999
PMM1	10.646722
GAP43	0.551992
NENF	10.255735999999999
SQLE	9.079647999999999
MRPL28	10.555558000000001
LOC100289341	4.4199459999999995
FBXL13	1.0785760000000002
FBXL12	8.305833999999999
FBXL15	8.491434000000002
CYP27B1	2.539482
FBXL17	9.216894000000002
FBXL16	3.696625999999999
FAM169A	7.291146
FAM116B	5.538644000000001
FAM116A	8.498129999999998
FAM169B	4.914269999999999
RALGAPA2	8.996682
GHDC	9.769686
H19	14.834402000000004
SDK2	4.36587
GRP	0.112732
TPRN	9.030156
THSD4	8.929936000000001
KIAA0895L	6.128193999999997
CHST9	9.031051999999999
CHST8	2.2734460000000003
COL4A5	5.349104
COL4A4	6.8079079999999985
COL4A3	3.9871179999999997
COL4A2	10.809689999999998
COL4A1	10.497387999999999
SLC35D2	10.491478000000004
CHST1	5.353172000000001
ZNF879	4.456980000000001
CHST3	6.906013999999999
CHST2	6.201918000000001
CHST5	0.8964179999999999
CHST4	8.14343
CHST7	8.331970000000002
CHST6	0.6941000000000002
ITGAX	7.325206000000001
OR8J1	0.020218
SNORD115-17	0.0
BCL2A1	5.637364
GPSM2	5.60913
HLCS	9.513374
NOG	1.1736280000000001
LIPG	10.756304
ITGAV	10.057861999999998
HIBCH	11.210105999999998
ZNF703	5.212592000000002
ITGAL	9.603846000000003
ITGAM	7.142752000000001
LOC286359	0.0
HLF	11.917685999999998
NOV	4.8416960000000016
FAM134C	11.15179
FAM134B	10.734120000000004
FAM134A	11.422005999999996
SERPING1	17.176755999999997
SMAD9	3.2095479999999994
TRERF1	5.842948000000002
LOC653501	6.420644000000001
LRPAP1	11.771105999999993
LQK1	4.198926000000002
SMAD6	7.754004
SMAD7	8.620379999999999
GOLPH3L	8.415715999999998
SMAD1	9.440313999999999
AFTPH	10.185889999999999
SMAD3	9.906198
MUS81	8.540322000000002
AMMECR1L	8.861431999999999
IL1RAPL1	0.40543599999999996
TMPRSS11B	0.01717
IGF2R	11.933886
TMPRSS11D	0.24450400000000003
TMPRSS11F	0.021834
ZC3H10	7.018064000000002
RAD21L1	0.0
IL1RAPL2	3.629344000000001
SLC36A3	0.033644
CKS1B	8.724328
SLC36A1	6.738827999999997
ST13	12.917786
RPL31P11	2.2582900000000006
C14orf115	0.0
ZC3H15	10.341602000000002
TMEM213	0.091404
C14orf118	6.292473999999999
ARTN	1.5850360000000003
ART1	0.035124
HRH3	0.207512
ART3	1.1176899999999999
HERC2P2	7.787441999999996
ART5	2.7456139999999998
ART4	8.629436
RNF111	8.778684000000002
TCEA2	9.561302000000001
TCEA3	12.018894
TCEA1	10.412224000000002
MGC57346	5.117356
COX4I2	1.865964
COX4I1	13.079209999999998
BFAR	9.95125
ZC3H18	9.398819999999999
TMEM212	0.21589799999999998
SNORD115-13	0.12437199999999998
TCEB3B	0.218502
SIPA1	9.77136
CRTAM	3.7554439999999993
EDA	6.459672
OR6P1	0.0
CCDC116	0.9751620000000001
CADPS2	8.851563999999998
CCDC114	1.753548
CCDC115	9.146357999999998
CCDC112	4.6085199999999995
CCDC113	5.829949999999999
CCDC110	2.9845859999999993
CCDC111	6.941302000000002
LEO1	9.240696000000002
